下第春愁甚 行心道肯难 |Ref:劳君远见招
月榭风亭绕曲池 天山花树绕池竹 |Ref:粉垣回互瓦参差
何时共到天台里 身与浮烟一处闲 |Ref:身与浮云处处闲
又疑伍胥涛 双水大不非 |Ref:蛟蜃相蹙拶
河汉夜阑孤雁度 宫军和已清风思 |Ref:潇湘水阔二妃愁
前人去后后人至 扫月还来入石来 |Ref:今古异时登眺同
若说神仙求便得 莫看桃处报真并 |Ref:茂陵何事在人间
御柳如丝映九重 凤凰窗柱绣芙蓉 |Ref:凤凰窗柱绣芙蓉
深知身在情长在 直取风如事不足 |Ref:怅望江头江水声
遇恩一时来 感愿更花去 |Ref:窃位三岁寒
阴律随寒改 阳风与远生 |Ref:阳和应节生
短小精悍姿 折雄高日穷 |Ref:屹然强寇敌
忽见天山雪 还来海苑风 |Ref:还疑上苑春
三年得归去 一日不人劳 |Ref:知绕几千回
感通君臣分 势之帝相荣 |Ref:义激鱼水契
蛇蝎愁闻骨髓寒 床行渡沥芦梁尘 |Ref:江山恨老眠秋雾
柴门岂断施行马 禄谷无分得人人 |Ref:鲁酒那堪醉近臣
邮亭世自换 未必问年贤 |Ref:白日事长垂
手提文锋百炼成 衣衣纸得一弦灰 |Ref:恐刜此钟无一声
吴宫女儿腰似束 妇中为取已为死 |Ref:家在钱唐小江曲
愿言挹风采 岂贵穷一瀛 |Ref:邈若窥华嵩
驰晖百年内 衰路百道身 |Ref:惟愿展所钦
造业大如山 神家白似并 |Ref:岂解怀忧怕
日守朱丝直 天临兰绮香 |Ref:年催华发新
枝逐清风动 山随静露寒 |Ref:香因白雪知
灵迹才辞周柱下 开衣节出出南中 |Ref:祥氛已入函关中
古来成道者 今至不禅者 |Ref:兄弟亦同行
匹马渡河洛 三羊千雪年 |Ref:西风飘路岐
猛虎虽云恶 亦各有匹侪 |Ref:亦各有匹侪
鹤禁有知须强进 早思无只得仙边 |Ref:稽峰无事莫相留
卷帘沧海近 芳枕碧山长 |Ref:洗钵白云飞
自为洛阳客 夫子长安音 |Ref:夫子吾知音
雄图安在哉 大昔岂天台 |Ref:衰草沾霜露
分日示诸王 无时无上地 |Ref:钩深法更秘
十年期是梦 高室更成吟 |Ref:一事未成身
存念长在心 言游身尘所 |Ref:展转无停音
津桥春水浸红霞 波树浮人看日花 |Ref:烟柳风丝拂岸斜
自惭多白发 相愧不青颜 |Ref:争敢竞朱颜
古台落日共萧条 草木来今相起心 |Ref:寒水无波更清浅
偷号甲兵冲塞色 落水吹边破苔香 |Ref:衔枚战马踏寒芜
晨兴涉清洛 此原见长河 |Ref:访子高阳宅
自小不到处 应为大有时 |Ref:全家忽如归
积金累作山 幽意岂为鱼 |Ref:山高小于址
旧物复光明 新人复气术 |Ref:洪炉再埏熔
经旬不饮酒 到人不为楼 |Ref:逾月未闻歌
莫以真留妾 风风不好君 |Ref:从他理管弦
乾元元年春 吾子瑞天会 |Ref:万姓始安宅
毁庙天飞雨 无场海阳东 |Ref:焚宫火彻明
昔记山川是 今君天里里 |Ref:今伤人代非
寄花寄酒喜新开 便送孤歌满又杯 |Ref:左把花枝右把杯
光洁疑可揽 景清不如移 |Ref:欲以襟怀贮
济旱露为兆 耕如心为私 |Ref:有如埙应篪
荣华能几日 岁发远君年 |Ref:眷属片时亲
白日全含朱鸟窗 流云半入苍龙阙 |Ref:流云半入苍龙阙
山前邻叟去纷纷 水到乡风来上无 |Ref:独强衰羸爱杜门
河冲绿野去 月绕青云飞 |Ref:鸟背白云来
如嫌水德人多狎 只得知嫌不不归 |Ref:拯溺宜将猛济宽
素浪遥疑八溪水 青云遥似万里峰 |Ref:清枫忽似万年枝
若为天上堪赠行 是是是间半得名 |Ref:徒使亭亭照离别
事业只浊醪 嘉身合松草 |Ref:营葺但草屋
高步三清境 还游五海稀 |Ref:超登九仙位
还叱楫师看五两 浣灯山水欲多人 |Ref:莫令辜负济川心
为吾安宝髻 蛾楼罢金丛 |Ref:蛾眉罢花丛
韩凭舞羽身犹在 况惜离流时时松 |Ref:素女商弦调未残
柳变金堤畔 年天玉岸前 |Ref:兰抽曲水滨
灞岸草萋萋 春流柳草草 |Ref:离觞我独携
何须生羽翼 始得有瑶台 |Ref:始得上瑶台
结成一衣和泪封 贮书只与怀前空 |Ref:封书只在怀袖中
老母与子别 呼言便里间 |Ref:呼天野草间
带箭君前诉 向我君水头 |Ref:君王悄不欢
朝莺雪里新 春蝶春中春 |Ref:雪树眼前春
年年望断无消息 不是长归又满秋 |Ref:空闭重城十二楼
采薪逢野泉 结石对横苔 |Ref:渐见栖闲所
广乐既备 恩物亦止 |Ref:嘉荐既新
一雀入官仓 所食能损几 |Ref:所食宁损几
北辰如不延吾辈 耳众似朝花夜色 |Ref:东阁何由逐汝开
峡色侵天去 江声入石声 |Ref:江声滚地来
明代搜扬切 经尘信满衣 |Ref:升沈莫问龟
芒砀云一去 饮汉气气清 |Ref:雁鹜空相呼
婉转盘跚殊未已 娉回寒月长绿衷 |Ref:悬空步骤红尘起
未肯离腰组 醉期长马吹 |Ref:来此复何颜
日暗天寒 山鸣相空 |Ref:禾稀豆损
半烟半雨江桥畔 万月斜晴照酒中 |Ref:映杏映桃山路中
平明登紫阁 下得出春头 |Ref:日晏下彤闱
世道难于剑 一年不于刀 |Ref:谗言巧似笙
沙鸟似云钟外去 家花如水月露来 |Ref:汀花如火雨中开
独往沧洲暮 当来白处归 |Ref:相看白发新
驱车又怆南北路 用首诗咏白云气 |Ref:返照寒江千万峰
此老已云殁 吟自无地论 |Ref:邻人嗟亦休
端人凿断碧溪浔 深子复此德有通 |Ref:善价争教惜万金
一株繁艳春城尽 千里疏游处处深 |Ref:双树慈门忍草生
出塞佐持简 明名能养车 |Ref:辞家拥鸣驺
凤凰池涸台星拆 娇鬟丝轻燕燕开 |Ref:回首岐山忆至公
剑门乘嶮过 还若向无生 |Ref:阁道踏空行
有兴多新作 烟程少旧为 |Ref:携将大府夸
吾皇别有剑 大国今无心 |Ref:何必铸金为
岂敢言招隐 何思大此清 |Ref:归休喜自安
近海川原薄 舟将路色多 |Ref:人家本自稀
吾更有一言 不言间千载 |Ref:尔宜听入耳
蔡女菱歌移锦缆 青青鹉舞落琼堤 |Ref:燕姬春望上琼钩
江天漠漠鸟双去 海雨飞风龙万还 |Ref:风雨时时龙一吟
十月辛勤一月悲 岁人犹见五年多 |Ref:今朝相见泪淋漓
梦水河边秋草合 跃云波里去风边 |Ref:黑山峰外阵云开
流水音长在 浮人事自起 |Ref:青霞意不传
揽辔独长息 登首一一频 |Ref:方知斯路难
燕山云自合 人路水来阴 |Ref:胡塞草应青
汉将承恩久 东因别路空 |Ref:图勋肯顾私
剑路红蕉明栈阁 人来白虎头花花 |Ref:巴村绿树荫神祠
幸有香茶留稚子 郡林细酒听君成 |Ref:不堪秋草送王孙
愁立驿楼上 夕凉旅水中 |Ref:厌行官堠前
古岩泉滴滴 空石鸟花花 |Ref:幽谷鸟关关
当仁自古有不让 可古才为为不心 |Ref:言讫屡颔天子颐
画图规阵势 何肯一星扬 |Ref:梦笔纪山行
碧芳既似水 上折亦如花 |Ref:日日咏归欤
庙堂须鲠议 吏土任陶文 |Ref:锦节伫来旋
顺居无鬼瞰 更朝荆川起 |Ref:抑横免官评
命棋隈绿竹 醉地渡青偶 |Ref:尽日有清风
此心不向常人说 风风犹来不不空 |Ref:倚识平津万户侯
月如芳草远 琴赏落花轻 |Ref:身比夕阳高
貂蝉徒自宠 鬓燕岂不殊 |Ref:鸥鹭不相嫌
怜君心相亲 一绶日相薄 |Ref:与我家又通
阵云泱漭屯塞北 国水清悬烧岭来 |Ref:羽书纷纷来不息
拟将儿女归来住 冷就看桑入海碧 |Ref:且是茅山见老人
簇声诸树密 同道一人归 |Ref:悬滴四檐疏
北斗兼春远 东山带夜流 |Ref:南陵寓使迟
宝帐香重重 金衣许高深 |Ref:一双红芙蓉
漏长丹凤阙 语向黑龙都 |Ref:秋冷白云司
闲卧藜床对落晖 情前凡酒翠春微 |Ref:翛然便觉世情非
晚落花满地 远来闻披人 |Ref:幽鸟鸣何枝
由来丞相重 为此得人声 |Ref:分掌国之钧
观书散遗帙 才药静相倒 |Ref:探古穷至妙
弟兄来渐少 居马别相侵 |Ref:岁月去何频
行乐远夸红布旆 征烟晓骑白千花 |Ref:风流近赌紫香囊
长门槐柳半萧疏 曾向山楼少影前 |Ref:玉辇沈思恨有馀
密树风烟积 高城月月寒 |Ref:回塘荷芰新
南北行已久 东南方更稀 |Ref:怜君知苦辛
郡人未识闻谣咏 一水深风上鹤觞 |Ref:天子知名与诏书
乐工虽在耳如壁 不得不如一能来 |Ref:不分清浊即为聋
家人把烛出洞户 惊栖失声声月树 |Ref:惊栖失群飞落树
秦王转无道 高客不何方 |Ref:谏者鼎镬亲
眷眷章梓州 暂梦有别同 |Ref:开筵俯高柳
微风飘更切 一草向何行 |Ref:万籁杂应难
东西不复问 南外有何言 |Ref:翻笑泣岐人
竹林晴见雁塔高 石室曾栖几禅伯 |Ref:石室曾栖几禅伯
先向红妆添晓梦 也从花袖半春波 |Ref:争来白发送新愁
始被鸿胪识 应回发简阙 |Ref:终蒙御史知
宝马鸣珂踏晓尘 一人照尽望天海 |Ref:鱼文匕首犯车茵
晴湖碧云晚 落日青苔井 |Ref:暝色空高楼
有似山开万里云 聚如犹见近灵仙 |Ref:四望青天解人闷
以载嘉德 之答新章 |Ref:以流曾庆
醉倚西楼人已远 梦哀松野水相长 |Ref:柳溪无浪月澄澄
不出门来又数旬 可谁一去一一楼 |Ref:将何销日与谁亲
摽梅诗有赠 持柳赋伤苦 |Ref:羔雁礼将行
喧静不由居远近 去深常在心人吹 |Ref:大都车马就权门
闽王美锦求贤制 垂帝严宫从自全 |Ref:未许陶公解印还
冉冉花明岸 缘君水乱风 |Ref:涓涓水绕山
顾索素琴应不暇 讵怜黄鬓好时在 |Ref:忆牵黄犬定难追
华省惭公器 高临愧上清 |Ref:沧江负钓师
坐密衣裳暖 悲低鼓履<unk> |Ref:堂虚丝管清
奠嘉璧 献玄玉 |Ref:燎芳薪
公门衙退掩 几院闲经亲 |Ref:妓席客来铺
石明如挂镜 山绿似时时 |Ref:苔分似列钱
何处题新句 谁家桃旧流 |Ref:连溪密叶垂
商山夏木阴寂寂 积雨秋窗影曹慈 |Ref:好处徘徊驻飞锡
坐饮孤驿酒 行向渔山楼 |Ref:行思独山游
天下率如此 太为得不群 |Ref:何以安吾民
莺啼日出不知曙 寂寂罗帏春梦长 |Ref:寂寂罗帏春梦长
谁能解金印 谁能开丹家 |Ref:潇洒共安禅
浅濑寒鱼少 秋沙夕鸟惊 |Ref:丛兰秋蝶多
月生淮上云初散 城在江中花欲来 |Ref:家在江南梦去迷
樽前遇风雨 千上忽成时 |Ref:窗里动波涛
果熟猿偷乱 平阴鸟下斜 |Ref:花繁鸟语重
移家虽带郭 时日未和村 |Ref:野径入桑麻
妻儿尽怕为逋客 夜五贫惊一折家 |Ref:亲故相邀遣到城
仍为泉下骨 一在梦回衣 |Ref:不作楚王嫔
丰功利生人 吾道不死尘 |Ref:天地同朽灭
石池清水是吾心 虚水生波不旧得 |Ref:刚被桃花影倒沉
何异王内史 又有得中德 |Ref:来招道林师
人心虽未厌 鸥事亦能时 |Ref:天意亦难知
复闻王师西讨蜀 轩鬓哭生已宣汉 |Ref:霜风冽冽摧朝菌
蚕丝何专利 人人即倚虚 |Ref:尔丝何专孽
寄言庄叟蝶 不见鲁庭杯 |Ref:与尔得天真
明发扈山巅 寒灵临河上 |Ref:飞龙高在天
寺前山远古陂宽 秦隔人来耳在楼 |Ref:寺里人稀春草寒
叶少初陵雪 花多却回道 |Ref:鳞生欲化龙
何须愁旅泊 使者有辉光 |Ref:使者有辉光
宠儒名可尚 何此事时多 |Ref:论秩官犹欺
为报习家多置酒 千花是雨当沾书 |Ref:夜来风雪过江寒
坐阅清晖不知暮 焉劳微色丽阳宫 |Ref:烟横北渚水悠悠
渔艇宜孤棹 山波恋且闻 |Ref:楼船称万艘
酒倾红琥珀 冰与青华花 |Ref:马控白骐驎
坑来斗呀豁 为龙峡云楼 |Ref:涌处惊嵯崒
浸淫沙市儿童乱 胶卖花秋昼猿筝 |Ref:汩没汀洲雁鹜哀
复作淮南客 风为汉上人 |Ref:因逢桂树留
坐中若打占相令 一有红石恼不数 |Ref:除却尚书莫点头
槐花落尽柳阴清 风叶行光一十长 |Ref:萧索凉天楚客情
委顺而已 是营复宁 |Ref:孰知其他
轩车双阙下 汉序一门衣 |Ref:宴会曲江滨
火凤声沉多咽绝 逢人事在东断天 |Ref:春莺啭罢长萧索
小捷风流已俊才 亲身只与一双埃 |Ref:便将红粉作金台
八月白露降 槐叶号天桑 |Ref:湖中水方老
却望长安道 回年空山门 |Ref:空怀恋主情
秋来转觉此身衰 人日不知看得无 |Ref:晨起临阶盥漱时
分明会得将军意 尽晚崇关关相愁 |Ref:不斩楼兰不拟回
远公一去兜率宫 千树隔山如眼台 |Ref:唯有面前虎溪水
遥思故园陌 辱忆梦山楼 |Ref:桃李正酣酣
君行拜高堂 论剑拂飞同 |Ref:速驾难久攀
山河起目前 睚眦尽人傍 |Ref:睚眦死路傍
世情薄疵贱 所气轻忘坚 |Ref:夫子怀贤哲
死是等闲生也得 何悲壮得得功车 |Ref:拟将何事奈吾何
永日一酣寝 野鸟见雨□ |Ref:起坐兀无思
孰知是死别 不以心心成 |Ref:且复伤其寒
斤磨片片雪 夜事尽长过 |Ref:椎隐连连珠
引领迟芳信 遥惊屡以诗 |Ref:果枉瑶华篇
玉京人去秋萧索 画檐鹊起梧桐落 |Ref:画檐鹊起梧桐落
始知同泰讲 不以以长来 |Ref:徼福是虚言
轻肥何为者 岁晚反风长 |Ref:浆藿自有馀
法尊称大洞 金载绝馀人 |Ref:学浅忝初真
长吟策羸马 行苦过秋风 |Ref:青楚入关门
屈平沉湘不足慕 徐衍入海诚为愚 |Ref:徐衍入海诚为愚
悠哉上天意 夏矣东山烟 |Ref:报施纷回互
青云自致惭天爵 白咏推周负上翁 |Ref:白首同归感昔贤
吴国滞风烟 西游不云雨 |Ref:平陵延梦想
轻裁鸭绿任金刀 言弦人黄上上马 |Ref:不怕西风断野蒿
云门夹峭石 水口落平流 |Ref:石路荫长松
龙旂翻海浪 蜃槛出天台 |Ref:馹骑驰坤隅
吁嗟麟兮 孰有攸哉 |Ref:克昭符命
闻道国人思再入 迥前城下复因斯 |Ref:熔金新铸鹤仪形
辄有时人至 空无如木声 |Ref:窗前白眼看
看宣赐处惊回眼 见引馀分满旧场 |Ref:著谢恩时便称身
宸扆亲唯敬 公田降所朝 |Ref:钧衡近匪侵
旧知巫山上 新日楚江春 |Ref:游子共徘徊
宁同梁武遇达磨 为比功文如转家 |Ref:过后弹指空伤悲
烽戍高临代 边兵度度一 |Ref:关河远控洮
鸳鸯初集水 飞舟欲飞风 |Ref:薜荔欲依松
不知何人奏皇帝 犹为为上见天神 |Ref:帝心恻隐知人弊
带月栖幽鸟 寒云塞北华 |Ref:兼花灌冷泉
乘舆执玉已登坛 更把将烟殿明光 |Ref:细草沾衣春殿寒
暮山门独掩 清月月相琴 |Ref:春草路难通
桂楼椒阁木兰堂 竹帛琴池光高里 |Ref:绣户雕轩文杏梁
顿觉胸怀无俗事 被看云卧井堂间 |Ref:回看掌握是人寰
误落胡尘里 长人守水中 |Ref:能持汉节归
自昔闻铜柱 中山见星殿 |Ref:行来向一年
玉树朝日映 金池春风吹 |Ref:罗帐春风吹
已想海门山 犹思楚水寺 |Ref:潮声来入耳
地偏相识尽 人忽更光生 |Ref:鸡犬亦忘归
微臣幸忝颁尧历 高绝良陪奉月节 |Ref:一望郊原惬所思
云天收夏色 冷日动秋光 |Ref:木叶动秋声
人才自朽下 更复有枯已 |Ref:弃去亦其宜
苒袅转鸾旗 悲年何人雾 |Ref:萎蕤吹雉葆
精灵无奈何 不化清光振 |Ref:像设安所荣
无由重掩笑 终是一华车 |Ref:分在秋风前
浴日荡层空 朝风无所泪 |Ref:浮天淼无畔
一浮一沈阳炼阴 再愧兼与秋玉然 |Ref:阴尽方知此理深
路尽烟水外 江馀云里边 |Ref:院门题上清
月落乌啼云雨散 游童陌上拾花钿 |Ref:游童陌上拾花钿
出门四顾望 开路路长央 |Ref:此日何徘徊
劝酒论心夜不疲 黄诗但面更相身 |Ref:含情有待问谁思
烟渚复烟渚 暮塘还云桑 |Ref:画屏休画屏
必若据而争 自实动有剧 |Ref:先登仪狄氏
卷幕参差燕 开堂照满鸳 |Ref:常衔浊水泥
研丹擘石天不知 庖香青壶地地明 |Ref:愿得天牢锁冤魄
泸水东奔彭蠡浪 南山又去望高船 |Ref:萍川西注洞庭波
京邑有旧庐 山南寻新新 |Ref:不容久食宿
承明年老辄自论 蝉声未才新作宴 |Ref:乞得湘守东南奔
一身无定处 万里有何魂 |Ref:万里独销魂
大贤持赠一明珰 小出千看五天强 |Ref:蓬荜初惊满室光
本是诸生守文墨 何为华事识更闻 |Ref:今将匹马静烟尘
解舞何须楚 人花桂里声 |Ref:能筝可在秦
青山不同赏 白鸟自相人 |Ref:来往自蹉跎
杜牧旧居凭买取 衙人新路不逢枝 |Ref:他年藜杖愿同归
钓时如有待 诗处似云起 |Ref:钓罢应忘筌
西风天际雁 归雨海南眉 |Ref:落日渡头人
向国唯看日 临城不望城 |Ref:归帆但信风
笳箫汉思繁 送入仲分源 |Ref:旌旗边色故
扫石焚香礼碧空 露华偏湿蕊珠宫 |Ref:露华偏湿蕊珠宫
离居偏入听 心见不来闻 |Ref:况复送归舟
春花与秋气 日月共相阴 |Ref:不感无情人
更有一般人不见 楼花惆在一池烟 |Ref:白莲花向半天开
甘贫辞聘币 长岁表追居 |Ref:依选受官资
览物想故国 安宾来空生 |Ref:十年别荒村
黄山过石柱 白草生松殿 |Ref:巘崿上攒丛
山上断云分翠霭 林晴秋月动尘容 |Ref:林间晴雪入澄溪
鹫岭飞夏服 火河拂绿泉 |Ref:娥魄乱雕弓
烟波莫笑趋名客 天地终门访万人 |Ref:为爱朝宗日夜忙
汲水疑山动 青山似雪来 |Ref:扬帆觉岸行
若怒鳞甲赤 应如不毛紫 |Ref:如酣头角垂
凤媒羞自托 鸳翼恨难穷 |Ref:鸳翼恨难穷
魏宫歌舞地 山暮鼓归归 |Ref:蝶戏鸟还鸣
恭闻留末命 不用在青情 |Ref:犹是爱元元
传呼大驾来 风涕满徽霞 |Ref:文物如云从
坠露清金阁 鸳风照云衣 |Ref:流萤点玉除
劝深子玉铭 手取取金字 |Ref:力竞相如赋
如山之福 得永为穷 |Ref:惟圣时对
花堑接沧洲 万人入青萝 |Ref:阴云闲楚丘
莫见一瓢离树上 自逢无处到家前 |Ref:犹须四壁在林间
兔苑旧游尽 鱼闱新月频 |Ref:龟台仙路长
垂枝有千落 出思几一还 |Ref:芳命无一存
禹凿山川地 兵台流古来 |Ref:因通四水流
夜舟达湖口 明此照江涛 |Ref:渐近庐山侧
寂默深想像 门凉静止止 |Ref:泪下如流澌
东家典钱归碍夜 更因楼雨起西州 |Ref:南家贳米出凌晨
只缘支遁谈经妙 不见深公赋过声 |Ref:所以许询都讲来
正见离人别 遥闻出客悲 |Ref:春心相向生
石林高几许 天在自相攀 |Ref:金刹在中峰
羞多转面语 头尽无身舞 |Ref:妒极定睛看
有路如飞出 征家不不鸣 |Ref:无机似陆沈
足下复不第 骑门无素音 |Ref:家贫寻故人
寄君青兰花 得我红芳衣 |Ref:惠好庶不绝
人心苦颠倒 日夕太阴馀 |Ref:反为忧者嗤
安存惟恐晚 女得不依依 |Ref:洗雪不论昨
海对羊城阔 沙连海树繁 |Ref:山连象郡高
吾欲竟此曲 子之长为生 |Ref:意深不可传
经今三十馀年事 旧著长十与不诗 |Ref:却说还同昨日时
遣人向市赊香粳 缘难酒阶瓮细雏 |Ref:唤妇出房亲自馔
元子当传启 楼王澹荷台 |Ref:皇孙合授询
但褫千人魄 天芳万派尘 |Ref:那知伍相心
雨花烟柳傍江村 野树山山入别溪 |Ref:流落天涯酒一樽
旋师闻杕杜 动取郡自回 |Ref:归路忆轘辕
日月中堂见 春山大物闻 |Ref:江湖满座看
淮廪伫滋实 清场不似早 |Ref:沂歌非所羡
何处江关锁 鬼中方夜开 |Ref:风涛阻客愁
每因暂出犹思伴 不别长门一里时 |Ref:岂得安居不择邻
负尔五年恩爱泪 倾衣杯取泪相人 |Ref:眼中惟有涸泉知
撰碑纵托登龙伴 且典从身帝帝游 |Ref:营奠应支卖鹤钱
山中若有闻 应上是相见 |Ref:言此不死庭
归来闭双关 人人被相处 |Ref:亦忘枯与荣
穿林宿古冢 落山寒寒人 |Ref:踏叶揭空盂
同器不同荣 绕叶愿此荣 |Ref:堂下即千里
格将寒松高 数绝为得结 |Ref:气与秋江清
皆言洞里千株好 不觉平来一能归 |Ref:未胜庭前一树幽
蜀纸裁深色 湘蛾动夕光 |Ref:燕脂落靓妆
鲜飙收晚翠 照月度花夕 |Ref:佳气满晴空
赤城何日上 青子见东土 |Ref:鄙愿从师游
荣乐一如此 谁得千里宫 |Ref:商山老紫芝
更忆前年望 同花满翠云 |Ref:孤舟泊大溪
昔还赋馀资 今出乃赢粮 |Ref:今出乃赢粮
响岳猿相次 高山水几书 |Ref:翻空雁接连
所悲忠与义 即得为为亲 |Ref:悲甚则哭之
眷言同心友 同怆在江风 |Ref:兹游安可忘
沙丘无漂母 金日不相埃 |Ref:谁肯饭王孙
轻尘集嵩岳 弱色连秦飞 |Ref:虚点盛明意
二月三月山初暖 落照秋春夜欲流 |Ref:最爱低檐数枝短
手不把书卷 身不擐戎衣 |Ref:身不擐戎衣
执简朝方下 登林岂已游 |Ref:乘轺去不赊
追奔瀚海咽 战罢阴山空 |Ref:战罢阴山空
譬如笼中鸟 各令无所摇 |Ref:仰给活性命
檐虚能彯斜 根肃似花飞 |Ref:舍蠹易漏破
冻髭亡夜剃 迟影见秋阴 |Ref:遗偈病时书
过憩裴逸人 所见长阳日 |Ref:岩居陵丹梯
若去上元怀古去 日来何水有经屋 |Ref:谢安坟下与沉吟
鹤笼闲警露 松竹怨吹风 |Ref:鹰缚闷牵鞲
毛欺皇后发 花载黄行操 |Ref:声感楚姬弦
缩地往来无定所 异年惊政有成新 |Ref:花源到处路漫漫
摇落暮天迥 连秋秋塞深 |Ref:青枫霜叶稀
匕首空磨事不成 蓬为夸笔心君君 |Ref:误留龙袂待琴声
鱼寻倒影没 水入空香虚 |Ref:花带湿光新
西从杉谷度 栖落入山茫 |Ref:北上竹溪深
连枝花样绣罗襦 野舞玉江含金露 |Ref:本拟新年饷小姑
灞上春风留别袂 宁时暮日忆来来 |Ref:关东新月宿谁家
高堂倾故国 秋路有新烟 |Ref:葬祭限囚羁
若到故园应觅我 不知新路忆逢人 |Ref:为传沦落在江州
拟折无端抛又恋 更应多一指难离 |Ref:乱穿来去羡黄莺
鹦鹉语中分百里 不须看是不为何 |Ref:凤凰声里过三年
清沼濯瓢钵 寒泉近楼陈 |Ref:杂和煮稠稀
养病未能辞薄俸 老身因逐向闲荣 |Ref:忘名何必入深山
日沈山虎出 雨向野人发 |Ref:钟动寺禽归
已观云似鹿 空闻大如珠 |Ref:即报首皆枭
王祥因就宦 客气自分元 |Ref:莱子不违亲
别有阑干压行路 深将暗吹如金飞 |Ref:看人尘土竟流年
瘴雨泷间急 饥寒水外宿 |Ref:离魂峡外销
一马喷成泥 吟吟不如雨 |Ref:百马饮浊流
主父西游困不归 分容南去久相移 |Ref:家人折断门前柳
零落景易入 倚翠曲难离 |Ref:郁抑抱难申
阶前蓂候月 海上柳风月 |Ref:楼上雪惊春
有时寄宿来城市 愿是孤飞折竹红 |Ref:海岛青冥无极已
寒灯孤对拥青毡 一鬓抱闻争一杯 |Ref:牢落何如似客边
野棠自发空临水 但语初归不见人 |Ref:江燕初归不见人
受词太白脚 时字方黄诚 |Ref:走马仇池头
他日未开今日谢 此花无与去相同 |Ref:嘉辰长短是参差
联坳各尽墨 舂缩海自危 |Ref:多水递隐现
朝昏鼓不到 门是不云行 |Ref:闲卧益相宜
井邑白云间 花鱼黄树深 |Ref:严城远带山
闻君久卧在云间 欲国苍门与有章 |Ref:为佐嫖姚未得还
滕王阁下昔相逢 词玉鸣边吴云对 |Ref:此地今难访所从
羞将看花眼 飞晓识酒头 |Ref:来入梵王宫
他时不得君招隐 不怕还江不到泥 |Ref:会逐南归楚客船
坐卧兼行总一般 旷湖似上扑高瘴 |Ref:向人努眼太无端
挥袂谢啼者 安君愁几千 |Ref:依然两眉低
上有罗衣裳 秦有羽于霞 |Ref:凉风吹不休
耕烟得铭志 唯画无鬓黄 |Ref:翻为古人思
况有晴风度 长清晓气姿 |Ref:仍兼宿露垂
犀带金鱼束紫袍 荷香雪去重双带 |Ref:不能将命报分毫
不应常在藩篱下 客得亦行无有人 |Ref:他日凌云谁见心
少年无不好 久事有何重 |Ref:莫恨满头尘
衙门晓辟分天仗 野梦开窗上禁情 |Ref:宾幕初开辟省郎
相期风涛观 山去东露长 |Ref:已久不可渝
残雪飞屋里 孤云落石头 |Ref:片水落床头
得君更有无厌意 肠得与门伴一时 |Ref:犹恨尊前欠老刘
空愧驽骀异一毛 久然触目何方口 |Ref:无令朽骨惭千载
为报火宅主 书为月日归 |Ref:露地骑白牛
野人宁得所 好地不相云 |Ref:天意薄浮生
昔年顾我长青眼 况日相君对白头 |Ref:今日逢君尽白头
道情虽拟攀孤鹤 归思花来断千人 |Ref:诗业那堪至远公
此处与谁相伴宿 朝来兼酒作枝寒 |Ref:烧丹道士坐禅僧
老夫留滞何由往 古子三思岁日中 |Ref:珉玉相和正绕身
上人念佛泛贞谛 不不经华一经除 |Ref:一佛一珠以为计
杏粥犹堪食 苔汤故欲涛 |Ref:榆羹已稍煎
独醉似无名 新年不有稀 |Ref:借君作题目
高士不羁世 远知在芦章 |Ref:颇将荣辱齐
词客金门未有媒 清臣子阁九山色 |Ref:游吴适越任舟回
气平闲易畅 阴景近难静 |Ref:声贺作难分
奸心兴桀黠 强遣一柔稀 |Ref:凶丑比顽嚚
带宽衫解领 伤喜酒重欺 |Ref:马稳人拢辔
鸑抱云霞朝凤阙 远将白水晓鸳门 |Ref:鱼翻波浪化龙宫
弋者甚多应扼腕 呼间飘闲屩拂行 |Ref:任他闲处指冥鸿
道流征短褐 清咏不长寻 |Ref:禅客会袈裟
调云阕兮神座兴 骖云驾兮俨将升 |Ref:骖云驾兮俨将升
天文光七政 兹子庆中传 |Ref:皇恩被九区
初筵方落日 欲路忽通舟 |Ref:醉止到鸣鸡
银钥开香阁 玉文结艳春 |Ref:金台照夜灯
如何属秋气 自处复寒光 |Ref:唯见落双桐
若非载笔登麟阁 初得重文出莱衣 |Ref:定是吹箫伴凤台
泛水虽云美 参今明月新 |Ref:劳歌谁复知
谦光贤将相 <unk>高直与身 |Ref:别纸圣龙蛇
漾漾隐波亭 山萧入染入 |Ref:悠悠通月浦
偶逢新语书红叶 应见时衣别别人 |Ref:难得闲人话白云
预愁别后相思处 烟道行前一池池 |Ref:月入闲窗远梦回
识音者谓谁 号之如如心 |Ref:清夜吹赠君
远壁秋声虫络丝 白烟夜落笛鸣鸣 |Ref:入檐新影月低眉
晓梵阳乌当石磬 阴上片马掩枕风 |Ref:夜禅阴火照田衣
越调管吹留客曲 十人风吹渡天山 |Ref:吴吟诗送暖寒杯
高若太空露云物 不将真止风未得 |Ref:片白激青皆仿佛
夙尚一何微 晨然无幽叹 |Ref:今得信可大
劳还应即尔 高岳不为天 |Ref:朝暮玉墀前
秋雨无情不惜花 满风烟子欲归时 |Ref:芙蓉一一惊香倒
有美为鳞族 无君如巨湘 |Ref:潜蟠得所从
白云兼似雪 相草仍如堂 |Ref:清昼乍生寒
