碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
金钱饶孔雀 玉木不<unk><unk><eos><eos><eos> |Ref:锦段落山鸡
瑶匣若浮云 不知春色长<eos><eos><eos> |Ref:冥冥藏玉水
灵台万顷浚 清景清澄叠<eos><eos><eos> |Ref:学府九流深
鬓入新年白 花开旧事红<eos><eos><eos> |Ref:颜无旧日丹
深仁浃夷夏 不觉在衣裳<eos><eos><eos> |Ref:洪造溢乾坤
别选闲游伴 归来愁不知<eos><eos><eos> |Ref:潜招小饮徒
钓竿垂北涧 渔艇水东村<eos><eos><eos> |Ref:樵唱入南轩
阅兵貔武振 赐赋凤凰初<eos><eos><eos> |Ref:听乐凤凰来
使者分王命 天恩出大臣<eos><eos><eos> |Ref:群公各典司
忆师眠复起 不见一人心<eos><eos><eos> |Ref:永夜思迢迢
夜舟达湖口 秋风入水滨<eos><eos><eos> |Ref:渐近庐山侧
魏宫歌舞地 楚女雁鸣飞<eos><eos><eos> |Ref:蝶戏鸟还鸣
荏苒新莺老 萧疏落叶多<eos><eos><eos> |Ref:穷通亦自宽
石明如挂镜 云落似垂丝<eos><eos><eos> |Ref:苔分似列钱
翠帐兰房曲且深 一枝清夜水如丝<eos> |Ref:宁知户外清霜下
东楼喜奉连枝会 东阁无人见白云<eos> |Ref:南陌愁为落叶分
北岭风烟开魏阙 南山出塞入三年<eos> |Ref:南轩气象镇商山
心期怅已阻 心迹不相寻<eos><eos><eos> |Ref:交道复何如
苍苍一雨后 一日不相逢<eos><eos><eos> |Ref:苕颖如云发
见我昔荣遇 为君无大成<eos><eos><eos> |Ref:念我今蹉跎
试涉霸王略 不见天地中<eos><eos><eos> |Ref:将期轩冕荣
重城深寺讲初休 一见无知不可知<eos> |Ref:却忆家山访旧游
结交远小人 不觉为我饥<eos><eos><eos> |Ref:小人难姑息
坏衲凉天拥 闲居晚景清<eos><eos><eos> |Ref:玄文静夜披
鴒原谩欲均馀力 金屋年来不可知<eos> |Ref:鹤发那堪问旧游
行携小榼出 不得见君来<eos><eos><eos> |Ref:逢花辄独倾
别易会难君且住 不知何处是君王<eos> |Ref:莫交青竹化为龙
须知香饵下 不得不知时<eos><eos><eos> |Ref:触口是铦钩
稀生巧补林 不得为神精<eos><eos><eos> |Ref:并出疑争地
丹梯倚寥廓 白首不相亲<eos><eos><eos> |Ref:终去问青天
碧烟杨柳色 一日不相逢<eos><eos><eos> |Ref:红粉绮罗人
病来前约分明在 不觉春风不可知<eos> |Ref:药鼎书囊便是家
灞水行人渡 秦城月照楼<eos><eos><eos> |Ref:商山驿路深
番情终未测 高步不相思<eos><eos><eos> |Ref:今昔谩言和
红堆落日云千仞 白雪红丝杨一杯<eos> |Ref:碧撼凉风竹一林
卧病穷巷晚 闲山春色深<eos><eos><eos> |Ref:忽惊骢马来
越郡佳山水 江南不可寻<eos><eos><eos> |Ref:菁江接上虞
数茎幽玉色 一点落花香<eos><eos><eos> |Ref:晓夕翠烟分
善烹寒食茗 名著一床垂<eos><eos><eos> |Ref:能变早春园
老松临死不生枝 一片清风不可攀<eos> |Ref:东野先生早哭儿
利器从头匣 文章出玉墀<eos><eos><eos> |Ref:刚肠到底刳
登览值晴开 江南秋雨寒<eos><eos><eos> |Ref:诗从野思来
欲伏猕猴心 还随白发人<eos><eos><eos> |Ref:须听狮子吼
醉罢各云散 不知心不知<eos><eos><eos> |Ref:何当复相求
舟楫欹斜疾 山风夜已长<eos><eos><eos> |Ref:鱼龙偃卧高
候晓天门辟 看风北斗楼<eos><eos><eos> |Ref:朝天万国同
出门各有道 不得无所为<eos><eos><eos> |Ref:我道方未夷
天子征不起 天涯不相逢<eos><eos><eos> |Ref:闲人亲得无
到君读书堂 不得不能行<eos><eos><eos> |Ref:忽若逢良医
通宵带露妆难洗 落日归人语自惊<eos> |Ref:尽日凌波步不移
劳问圃人终岁事 不知春色不相亲<eos> |Ref:桔槔声里雨春畦
文高柏梁殿 气动玉皇文<eos><eos><eos> |Ref:礼薄霸陵原
皋夔益稷禹 汉出霍于无<eos><eos><eos> |Ref:粗得无间然
皇天要识物 不得不知人<eos><eos><eos> |Ref:日月乃化生
书幌神仙箓 歌人作凤船<eos><eos><eos> |Ref:画屏山海图
莫羡居者闲 不知人不得<eos><eos><eos> |Ref:冢边人已耕
白云生院落 青树入山深<eos><eos><eos> |Ref:流水下城池
南橘北为枳 南山不得鱼<eos><eos><eos> |Ref:古来岂虚言
生荣今分逾 心事无所为<eos><eos><eos> |Ref:死弃昔情任
归台新柱史 归路上龙城<eos><eos><eos> |Ref:辞府旧英髦
自郎石城出 不得天上人<eos><eos><eos> |Ref:长在石城头
春水引将客梦 春风落花时去<eos><eos> |Ref:悠悠绕遍关山
六辔未收千里马 一声犹见一花春<eos> |Ref:一囊空负九秋萤
肝肠辞玉辇 泪影入秦城<eos><eos><eos> |Ref:形影向金微
院静留僧宿 山阴入寺春<eos><eos><eos> |Ref:楼空放妓归
杖策无言独倚关 一声一影一枝开<eos> |Ref:如痴如醉又如闲
追奔瀚海咽 出入青山行<eos><eos><eos> |Ref:战罢阴山空
山高猿狖急 山静水云微<eos><eos><eos> |Ref:天静鸿雁鸣
挥妙在微密 不觉无由止<eos><eos><eos> |Ref:全功知感诚
雨笼蛩壁吟灯影 风落花枝风雨寒<eos> |Ref:风触蝉枝噪浪声
客传为郡日 人见见年春<eos><eos><eos> |Ref:僧说读书年
辛夷始花亦已落 白云落日满江城<eos> |Ref:况我与子非壮年
在德不在险 不知心不知<eos><eos><eos> |Ref:成败良有因
旧犬喜我归 春风不相见<eos><eos><eos> |Ref:低徊入衣裾
柴扉常昼掩 松径晚风开<eos><eos><eos> |Ref:惟有野人过
重阳初启节 高月不知人<eos><eos><eos> |Ref:无射正飞灰
空怜世界迫 不得是无情<eos><eos><eos> |Ref:孤负桃源心
貔貅扫尽无三户 翡翠飞看入一年<eos> |Ref:鸡犬归来识四邻
不道弓箭字 不知人语情<eos><eos><eos> |Ref:罢官唯醉眠
闰节开重九 清华奉圣朝<eos><eos><eos> |Ref:真游下大千
何人赏秋景 不见一年春<eos><eos><eos> |Ref:兴与此时同
川中水木幽 日入青山色<eos><eos><eos> |Ref:高下兼良田
数杯浇肠虽暂醉 一曲惊声不可知<eos> |Ref:皎皎万虑醒还新
雨来莼菜流船滑 风落飞鸾不苦人<eos> |Ref:春后鲈鱼坠钓肥
两河庶事已堪伤 一曲清风不可忘<eos> |Ref:南客秋归路更长
仙桥危石架 山树入云堂<eos><eos><eos> |Ref:幽洞乘□□
昭阳桃李月 不见一人期<eos><eos><eos> |Ref:罗绮自相亲
静架九色节 高临万里春<eos><eos><eos> |Ref:闲悬十绝幡
庐岳镇江介 天涯临大筑<eos><eos><eos> |Ref:于焉惬林栖
莲池伊水入 石屋海山通<eos><eos><eos> |Ref:石径远山通
日月低秦树 风风白马楼<eos><eos><eos> |Ref:乾坤绕汉宫
海若宁洪涛 山深不有人<eos><eos><eos> |Ref:羲和止奔驭
客来深巷中 人去有人间<eos><eos><eos> |Ref:犬吠寒林下
莫辞冒险艰 不得是天涯<eos><eos><eos> |Ref:可以裨节制
琢磨三益重 不得九良图<eos><eos><eos> |Ref:唱和五音调
才惊素节移铜律 更向春深入玉门<eos> |Ref:又见玄冥变玉签
有人还采掇 无地有神仙<eos><eos><eos> |Ref:何必在春期
前年九日馀杭郡 今见三年一见君<eos> |Ref:呼宾命宴虚白堂
寥廓云海晚 苍茫天远秋<eos><eos><eos> |Ref:苍茫宫观平
直须桂子落坟上 不得不知人不知<eos> |Ref:生得一枝冤始消
金风扇微凉 玉树含风光<eos><eos><eos> |Ref:远烟凝翠晶
海内八年战 天涯千里人<eos><eos><eos> |Ref:先生全一身
万舞当华烛 千年入一杯<eos><eos><eos> |Ref:箫韶入翠云
宸扆亲唯敬 王王圣主君<eos><eos><eos> |Ref:钧衡近匪侵
交疏贫病里 野味白云中<eos><eos><eos> |Ref:身老是非间
海中有国倾神功 不得不知人不知<eos> |Ref:烹金化成九乳钟
京洛云山外 江边云满中<eos><eos><eos> |Ref:音书静不来
桥闲野鹿过 窗静远云飞<eos><eos><eos> |Ref:街静禁鸦翻
自古传剽俗 不知心不知<eos><eos><eos> |Ref:有时逋恶子
寄诸佛子 为白天涯<eos><eos><eos><eos> |Ref:共结来缘
此夜断肠人不见 一声风雨满江风<eos> |Ref:起行残日影徘徊
老去争由我 归来不可知<eos><eos><eos> |Ref:愁来欲泥谁
受降追汉策 不敢问文章<eos><eos><eos> |Ref:筑馆计戎和
当年歌舞时 不见白云间<eos><eos><eos> |Ref:不说草离离
抗节衷无隐 高情不可知<eos><eos><eos> |Ref:同心尚弼违
野性自相近 不知人事稀<eos><eos><eos> |Ref:不是为同官
力尽得一名 不知一年老<eos><eos><eos> |Ref:他喜我且轻
窈窕凤凰姝 风涛马帆去<eos><eos><eos> |Ref:倾城复倾国
由来惯采无近远 不得人间不可知<eos> |Ref:阴岭长兮阳崖浅
势薄飞难定 光清不不成<eos><eos><eos> |Ref:天高色易穷
往来不相问 不见春风流<eos><eos><eos> |Ref:寂寂山家春
耕凿方随日 诗名不见臣<eos><eos><eos> |Ref:恩威比望云
旧曾闻说林中鸟 今日无人不见车<eos> |Ref:定后长来顶上巢
飞轩危槛百花堂 一曲清声一夜寒<eos> |Ref:朝宴歌钟暮已荒
心事正堪尽 心书不可知<eos><eos><eos> |Ref:离居宁太频
相去复几许 不知春夜春<eos><eos><eos> |Ref:道里近三千
鸟栖寒水迥 人入夕阳迟<eos><eos><eos> |Ref:月映积冰清
重赐竭中国 高恩无所期<eos><eos><eos> |Ref:强兵临北边
迅拔看鹏举 初开斗阙行<eos><eos><eos> |Ref:高音侍鹤鸣
黄婆丁老助威灵 一书三山日一老<eos> |Ref:撼动乾坤走神鬼
娇摩娇 鸣金啼<eos><eos><eos><eos><eos> |Ref:娇摩娇
前山临紫阁 一日入江山<eos><eos><eos> |Ref:曲水眺红蕖
谪居为别倍伤情 一日春风见国时<eos> |Ref:何事从戎独远行
哀荣今共尽 心意不知悲<eos><eos><eos> |Ref:凄怆杜陵田
罗敷敛双袂 不觉不知音<eos><eos><eos> |Ref:樊姬献一杯
晨装林月在 暮宿海山深<eos><eos><eos> |Ref:野饭浦沙寒
道上千里风 天中万人长<eos><eos><eos> |Ref:野竹蛇涎痕
自从富贵来 不得为我贫<eos><eos><eos> |Ref:恩薄谗言多
绿影竞扶疏 红如动罗薄<eos><eos><eos> |Ref:红姿相照灼
群仙急乃言 一泪如萧条<eos><eos><eos> |Ref:百犯庸不科
寒日蒿上明 秋风风雨落<eos><eos><eos> |Ref:凄凄郭东路
应缘近似红儿貌 不得无人得不知<eos> |Ref:始得深宫奉五官
舍西崖峤壮 不见人苦稀<eos><eos><eos> |Ref:雷雨蔚含蓄
官居乘佩服 不见此人间<eos><eos><eos> |Ref:一一自相亚
美擅东堂登甲乙 一回白日入春风<eos> |Ref:荣同内署侍恩私
淡交终不破 不觉无所适<eos><eos><eos> |Ref:孤达晚相宜
直散青蘋末 空依落日深<eos><eos><eos> |Ref:偏随白浪头
愿作城上乌 不知人不得<eos><eos><eos> |Ref:一年生九雏
徘徊北楼上 一曲无人声<eos><eos><eos> |Ref:海江穷一顾
托根非其所 不得清泠泠<eos><eos><eos> |Ref:不如遭弃捐
中庭起崖谷 一片无云雨<eos><eos><eos> |Ref:漱玉下涟漪
侬家云水本相知 不得归来不见人<eos> |Ref:每到高斋强展眉
西州人不归 一马不相见<eos><eos><eos> |Ref:春草年年碧
旅魂自是才相累 不觉相逢不可知<eos> |Ref:闲骨何妨冢更高
控压浔阳景 高客青山远<eos><eos><eos> |Ref:崔嵬古及今
卷帘沧海近 开坐白云深<eos><eos><eos> |Ref:洗钵白云飞
况是会游处 不知春夜多<eos><eos><eos> |Ref:桑田小变更
早变山东知顺命 不知何处是天涯<eos> |Ref:新收济上立殊功
元戎静镇无边事 汉国恩生出帝王<eos> |Ref:遣向营中偃画旗
白云与流水 白发何人去<eos><eos><eos> |Ref:千载清人心
胡麻作饭琼作浆 胡儿作女金为<unk><eos> |Ref:素书一帙在柏床
伊人强猛犹如此 不得无人不可得<eos> |Ref:顾我劳生何足恃
田巴兀老苍 楚水流石坂<eos><eos><eos> |Ref:怜汝矜爪觜
浮丘仙袂接 高酒酒相裁<eos><eos><eos> |Ref:谢公屐齿穷
墙外洛阳道 山中无古路<eos><eos><eos> |Ref:东西无尽时
丹心终不改 白首不相亲<eos><eos><eos> |Ref:白发为谁新
最称弘偃少 不觉不知春<eos><eos><eos> |Ref:早岁草茅居
归来延寿溪头坐 不觉春风一片花<eos> |Ref:终日无人问一声
主人琼枝秀 不得无心绝<eos><eos><eos> |Ref:宠别瑶华篇
鱼知丙穴由来美 鸟见飞云不见空<eos> |Ref:酒忆郫筒不用酤
人随转蓬去 马见飞鸟飞<eos><eos><eos> |Ref:春伴落梅还
胡琴今日恨 何处不相逢<eos><eos><eos> |Ref:急语向檀槽
良守初分岳 高人入白云<eos><eos><eos> |Ref:嘉声即润河
旧友皆霄汉 新人在龙门<eos><eos><eos> |Ref:此身犹路岐
踯躅岂能同日语 诗来无事是无人<eos> |Ref:玫瑰方可一时呈
万里终无信 三年不可知<eos><eos><eos> |Ref:一条徒自悬
非君惜鸾殿 不得见花枝<eos><eos><eos> |Ref:非妾妒蛾眉
国宝亡双杰 天子为清己<eos><eos><eos> |Ref:天才丧两贤
昨从分陕山南口 今日为衣生不得<eos> |Ref:驰道依依渐花柳
古剑寒黯黯 孤舟生清川<eos><eos><eos> |Ref:铸来几千秋
天资韶雅性 日照玉明泉<eos><eos><eos> |Ref:不愧知音识
别开池馆背山阴 不觉春风满水烟<eos> |Ref:近得幽奇物外心
夜深池上歇 日照秋风深<eos><eos><eos> |Ref:龙入古潭中
韶曙迟胜赏 春风含远烟<eos><eos><eos> |Ref:贤明戒先庚
欲使方隅法 还来不见人<eos><eos><eos> |Ref:还令规矩同
六旬馀可借 一日不相逢<eos><eos><eos> |Ref:四序应如期
楼头风景八九月 一片不见一年春<eos> |Ref:床下水云千万重
天锡皇帝 天天下地<eos><eos><eos><eos> |Ref:为天下主
如何溆花发 不见春风愁<eos><eos><eos> |Ref:复对游子颜
小院珠帘著地垂 一枝开处有清风<eos> |Ref:院中排比不相知
猜嫌成谪宦 不觉心心生<eos><eos><eos> |Ref:正直不防身
未拨落杯花 不知无处色<eos><eos><eos> |Ref:低冲拂面柳
蒲类成秦地 云堂入汉西<eos><eos><eos> |Ref:莎车属汉家
和鸣一夕不暂离 一片清流一一枝<eos> |Ref:交颈千年尚为少
斯民本已安 不得为君得<eos><eos><eos> |Ref:工拙两无施
雄哉大造化 不见一千年<eos><eos><eos> |Ref:万古横中州
拔剑照霜白 飞弓飞电雄<eos><eos><eos> |Ref:怒发冲冠壮
愿今日入处 不得无人期<eos><eos><eos> |Ref:亦似天中央
久不开明镜 无如作玉杯<eos><eos><eos> |Ref:多应是白头
山果落秋院 山中无远人<eos><eos><eos> |Ref:水花开晓庭
保兹万卷书 不得长有事<eos><eos><eos> |Ref:守慎如羁绁
刘郎旧香炷 不得一杯王<eos><eos><eos> |Ref:立见茂陵树
贾生年最少 何处是无情<eos><eos><eos> |Ref:儒行汉庭闻
青林碧屿暗相期 一年满眼一枝干<eos> |Ref:缓楫挥觥欲赋诗
杯尝七尹酒 书见五夫名<eos><eos><eos> |Ref:树看十年花
不闻宽赋敛 不得心心后<eos><eos><eos> |Ref:因此转流离
无成归故国 不得是君王<eos><eos><eos> |Ref:上马亦高歌
好著丹青图画取 不知何处是人间<eos> |Ref:题诗寄与水曹郎
寥落军城暮 萧条白发生<eos><eos><eos> |Ref:重门返照间
跁跒为诗跁跒书 不知高国不知音<eos> |Ref:不封将去寄仙都
无乃予所爱 不知不能知<eos><eos><eos> |Ref:误为微物迁
将来物外客 不见此中心<eos><eos><eos> |Ref:个个补丹田
八月繁云连九月 一枝无处不相逢<eos> |Ref:两回三五晦漫漫
平沙大河急 一日不相思<eos><eos><eos> |Ref:细雨二陵秋
云壑窥仙籍 山云入国恩<eos><eos><eos> |Ref:风谣验地图
蒲萄酒熟恣行乐 不觉春风不可知<eos> |Ref:红艳青旗朱粉楼
世交黄叶散 人老白云来<eos><eos><eos> |Ref:乡路白云重
宁羞白发照渌水 不得春风无夜风<eos> |Ref:逢时吐气思经纶
众皆含笑戏 不得在天涯<eos><eos><eos> |Ref:谁不点颐怜
佶栗乌皮几 干田道力全<eos><eos><eos> |Ref:轻明白羽扇
平生握中宝 不得为其如<eos><eos><eos> |Ref:无使岁寒移
一年芳胜一年芳 一片风风一片时<eos> |Ref:爱重贤侯意异常
荆棘苍苍汉水湄 一年何处是何人<eos> |Ref:将坛烟草覆馀基
钧天金石响 山水石烟烟<eos><eos><eos> |Ref:洞庭弦管清
自下所骑马 不知何处知<eos><eos><eos> |Ref:右持腰间刀
缅彼十八人 不为一年年<eos><eos><eos> |Ref:古今同此适
轻箑烦相向 清乐在三曲<eos><eos><eos> |Ref:纤絺恐自疑
问我逸如何 不知不可知<eos><eos><eos> |Ref:闲居多兴味
小球场近曲池头 一度东风不可知<eos> |Ref:宣唤勋臣试打球
轻生学其术 不得无所为<eos><eos><eos> |Ref:乃在金泉山
笑处如临镜 相逢不可知<eos><eos><eos> |Ref:窥时不隐墙
身老时危思会面 不知春少不知来<eos> |Ref:一生襟抱向谁开
粲粲鲜花明四曜 香香不得不成鞭<eos> |Ref:辉辉道树镜三春
碧溪潋潋流残阳 红叶飘飘白云风<eos> |Ref:晴沙两两眠鸳鸯
简册自中来 天台一重分<eos><eos><eos> |Ref:貂黄忝宣授
眼中了了见乡国 不得无人不得知<eos> |Ref:知有归日眉方开
古壁仙人画 高山一日斜<eos><eos><eos> |Ref:丹青尚有文
塔影高群木 风明远北行<eos><eos><eos> |Ref:江声压暮钟
皇天不无意 不得无所为<eos><eos><eos> |Ref:美利戒止足
繁艳归何处 春风不可怜<eos><eos><eos> |Ref:满山啼杜鹃
芳辰不可住 何处是长安<eos><eos><eos> |Ref:惆怅暮禽还
惆怅浮云迷远道 不知春草有春风<eos> |Ref:张侯楼上月娟娟
大道日往 不如天地<eos><eos><eos><eos> |Ref:若为雄才
所费百钱本 不能一生得<eos><eos><eos> |Ref:已得十倍赢
征人遥遥出古城 一年不见春水西<eos> |Ref:双轮齐动驷马鸣
八尺龙须方锦褥 一生红叶满清风<eos> |Ref:已凉天气未寒时
肃肃艺祖 肃肃虔禋<eos><eos><eos><eos> |Ref:滔滔浚源
日有习池醉 日来归棹归<eos><eos><eos> |Ref:愁来梁甫吟
荀谢年何少 刘亲力未成<eos><eos><eos> |Ref:韦平望已久
应笑王戎成俗物 不知人事不相亲<eos> |Ref:遥持麈尾独徘徊
北倚苍龙阙 南来北凤凰<eos><eos><eos> |Ref:西临紫凤垣
及第还全蜀 相逢心在秦<eos><eos><eos> |Ref:游方归二林
旷哉至人心 不得不为我<eos><eos><eos> |Ref:万古可为则
功德流何远 天涯不可寻<eos><eos><eos> |Ref:馨香荐未衰
报主身已老 为来日无神<eos><eos><eos> |Ref:入朝病见妨
自问彭城子 何由不可知<eos><eos><eos> |Ref:何人授汝颠
夭桃花薄暮 红叶满新愁<eos><eos><eos> |Ref:游女红粉故
不知千万里 不得一相思<eos><eos><eos> |Ref:谁复识辛毗
须知饮啄繇天命 不得飞毛作大愚<eos> |Ref:休问黄河早晚清
夫婿交河北 人城楚路东<eos><eos><eos> |Ref:迢迢路几千
野桥经亥市 山水见公卿<eos><eos><eos> |Ref:山路过申州
施稀无夏屋 开得不三门<eos><eos><eos> |Ref:境僻乏朝膳
闲心放羁靮 不觉无心迹<eos><eos><eos> |Ref:醉脚从欹倾
寒山独过雁 秋雨不闻猿<eos><eos><eos> |Ref:暮雨远来舟
爱从抽马策 不见楚山声<eos><eos><eos> |Ref:惜未截鱼竿
何穷对酒望 不见故人情<eos><eos><eos> |Ref:几处卷帘愁
一枝秾艳留教住 一把金壶入一年<eos> |Ref:几处春风借与飞
知君志不小 不得长相思<eos><eos><eos> |Ref:一举凌鸿鹄
啄食饮泉勇气满 不得无人为我说<eos> |Ref:争雄斗死绣颈断
人生何处不离群 不觉春风满水风<eos> |Ref:世路干戈惜暂分
青潭晓霭笼仙跸 白首青青入白云<eos> |Ref:红屿晴花隔彩旒
今年宜未衰 不得不能语<eos><eos><eos> |Ref:稍已来相寻
得失鉴齐楚 不知尘作秦<eos><eos><eos> |Ref:仁思念禹汤
百尺井栏上 一枝如石生<eos><eos><eos> |Ref:数株桃已红
汤沐成陈迹 清容奉圣恩<eos><eos><eos> |Ref:山林遂寂寥
仙李盘根大 天明不可成<eos><eos><eos> |Ref:猗兰奕叶光
归去复归去 相逢不可知<eos><eos><eos> |Ref:故乡贫亦安
拟服松花无处学 不知人事不知人<eos> |Ref:嵩阳道士忽相教
养病未能辞薄俸 为君谁得见闲人<eos> |Ref:忘名何必入深山
霞刹分危榜 风尘动落晖<eos><eos><eos> |Ref:烟波透远光
若有诗相赠 何由不可知<eos><eos><eos> |Ref:期君忆惠休
衡阳路犹远 不是不知人<eos><eos><eos> |Ref:独与雁为宾
衔烛耀幽都 清凉清清风<eos><eos><eos> |Ref:含章拟凤雏
笙歌隐隐违离后 玉阙风歌声不知<eos> |Ref:烟水茫茫怅望中
少年负壮气 不得无所求<eos><eos><eos> |Ref:奋烈自有时
闲随人兀兀 不得天涯远<eos><eos><eos> |Ref:梦听鼓冬冬
然后兼卖所居宅 不知春草不知谁<eos> |Ref:仿佛获缗二三千
九江日落醒何处 万里风吹入洞庭<eos> |Ref:一柱观头眠几回
何必闲吟蜀道难 不知何处是君王<eos> |Ref:知君心出嶮巇间
皓气凝书帐 清风入玉筵<eos><eos><eos> |Ref:清著钓鱼竿
方同沃洲去 不见白云归<eos><eos><eos> |Ref:不自武陵迷
故国已无业 故人何处期<eos><eos><eos> |Ref:旧交多不生
王事何为者 何人不可知<eos><eos><eos> |Ref:称代陈颂章
日于文苑陪高步 天下龙媒出凤行<eos> |Ref:赢得芳尘接武名
不见露盘迎晓日 不知风雨不闻风<eos> |Ref:唯闻木斧扣寒松
野云居处尽 山色夜中深<eos><eos><eos> |Ref:江月定中明
维舟镜面中 不见人不知<eos><eos><eos> |Ref:迥对白盐峰
清淮南岸家山树 白日南山白日山<eos> |Ref:黑水东边第一栽
霜威变绿树 风彩动金台<eos><eos><eos> |Ref:云气落青岑
虽云有物役 不得无所思<eos><eos><eos> |Ref:乘此更休闲
几逢疑虎将 不是是人山<eos><eos><eos> |Ref:应逐犯牛仙
人间百戏皆可学 不知一日无人间<eos> |Ref:寻橦不比诸馀乐
岁时无壁画 日暮无风影<eos><eos><eos> |Ref:朝夕有阶烟
坐中千里近 归去一枝深<eos><eos><eos> |Ref:檐下四山低
地非樵者路 人是海头山<eos><eos><eos> |Ref:武陵又何逢
当时一旦擅豪华 不得无人不可知<eos> |Ref:自言千载长骄奢
高馆基曾山 清风清远路<eos><eos><eos> |Ref:微幂生花草
自报金吾主禁兵 不知一字不能成<eos> |Ref:腰间宝剑重横行
客星动太微 天地无清色<eos><eos><eos> |Ref:朝去洛阳殿
经年荒草侵幽径 今日归帆过东北<eos> |Ref:几树西风锁弊庐
湘浦暮沈尧女怨 楚风风暖雁初回<eos> |Ref:汾河秋泛汉皇愁
地狭青莲小 山开白叶开<eos><eos><eos> |Ref:城高白日迟
小儒同品物 不得道生非<eos><eos><eos> |Ref:无以答皇明
末裔实渔者 中为天地深<eos><eos><eos> |Ref:敢怀干墨卿
彤襜江上远 金剑天台开<eos><eos><eos> |Ref:万里诏书催
贫居烟火湿 病病酒杯新<eos><eos><eos> |Ref:岁熟梨枣繁
谁谓唐城诸父老 不知何处是人心<eos> |Ref:今时得见蜀文翁
闻诗闻礼 以日无人<eos><eos><eos><eos> |Ref:斐兮璨璨
乞儿还有大通年 不得无言不可知<eos> |Ref:三十三人碗杖全
敛翮远投君 何人不可知<eos><eos><eos> |Ref:飞驰势奔蹙
白云从冢出 青草见家贫<eos><eos><eos> |Ref:秋草为谁荒
列科叨甲乙 高驾奉陈才<eos><eos><eos> |Ref:从宦出丘樊
肃子风威 肃肃清光<eos><eos><eos><eos> |Ref:严子霜质
却羡为猿鹤 无因不可寻<eos><eos><eos> |Ref:飞鸣近碧湍
旧感与新悲 新情不可怜<eos><eos><eos> |Ref:虚怀酬昔时
浮查并坐得 一夜不堪闻<eos><eos><eos> |Ref:仙老暂相将
绛衣朝圣主 白发入胡人<eos><eos><eos> |Ref:纱帐延才子
闲官是宾客 不得是君家<eos><eos><eos> |Ref:宾客无牵累
岂无经过人 不得无所思<eos><eos><eos> |Ref:寻叹门巷静
李郭应时望 山山不见春<eos><eos><eos> |Ref:王杨入幕频
不得身自由 不知心无为<eos><eos><eos> |Ref:皆为心所使
宁关匠石顾 不得文文生<eos><eos><eos> |Ref:岂为王孙折
遂于鼙鼓间 不见天河台<eos><eos><eos> |Ref:移植东南美
具备万物 永以其禋<eos><eos><eos><eos> |Ref:横绝太空
繇此无体 不为白首<eos><eos><eos><eos> |Ref:期乎永宁
暇日从休浣 新花寄醉眠<eos><eos><eos> |Ref:高车映道傍
太守不韵俗 不知为我身<eos><eos><eos> |Ref:诸生皆变风
永怀无荒戒 不觉无所求<eos><eos><eos> |Ref:良士同斯情
遥知为吏去 不得是君家<eos><eos><eos> |Ref:有术字惸孤
无生深旨诚难解 不是君王不可知<eos> |Ref:唯是师言得正真
当时好风物 不得不相亲<eos><eos><eos> |Ref:谁伴谢宣城
恶子不可说 不知生子生<eos><eos><eos> |Ref:鸱枭蝮蛇然
乘尔亦已久 不知不可知<eos><eos><eos> |Ref:天寒关塞深
夏木多好鸟 秋风生白云<eos><eos><eos> |Ref:偏知反舌名
新恩别启馆娃宫 新诗拜诏入秦宫<eos> |Ref:还拜吴王向此中
侯门昔弹铗 不得无遗事<eos><eos><eos> |Ref:曾共食江鱼
君能来作栖霞侣 不得人间无事知<eos> |Ref:与君同入丹玄乡
朝霞映日同归处 夜月飞云入远城<eos> |Ref:暝柳摇风欲别秋
无情红艳年年盛 不得青山一片人<eos> |Ref:不恨凋零却恨开
蓬山此去无多路 不见春风不见春<eos> |Ref:青鸟殷勤为探看
奔川半留滞 飞鸟不相望<eos><eos><eos> |Ref:叠树互玲珑
峡坼云霾龙虎卧 山寒水滑食鱼根<eos> |Ref:江清日抱鼋鼍游
赤玉雕成彪炳毛 金盘一点无丝丝<eos> |Ref:红绡翦出玲珑翅
楚国蕙兰增怅望 楚山花叶不堪愁<eos> |Ref:番禺筐篚旅虚空
时登张公洲 不得无所为<eos><eos><eos> |Ref:入兽不乱群
麾下同心吏 山中见所求<eos><eos><eos> |Ref:军中□□端
山东群盗散 不得一行归<eos><eos><eos> |Ref:阙下受降频
雷电生睒睗 云声在<unk><unk><eos><eos><eos> |Ref:角鬣相撑披
右军尚少年 不得不能言<eos><eos><eos> |Ref:三领东方骑
五年重别旧山村 一夜春风满水风<eos> |Ref:树有交柯犊有孙
深宫带日年年色 不得青山不得来<eos> |Ref:翠柏凝烟夜夜愁
乘云厌俗 为我于人<eos><eos><eos><eos> |Ref:驭日登玄
有臣勇智 不以文功<eos><eos><eos><eos> |Ref:奋不以众
朝衣闲典尽 夜寺欲归归<eos><eos><eos> |Ref:酒病觉难医
闻君为汉将 不得一人知<eos><eos><eos> |Ref:虏骑罢南侵
背冷金蟾滑 空凝玉漏清<eos><eos><eos> |Ref:毛寒玉兔顽
鸟吟当户竹 鸟入落山溪<eos><eos><eos> |Ref:花绕傍池山
体元承夏道 心气入清川<eos><eos><eos> |Ref:推历法尧咨
羽人在丹丘 天子清不歇<eos><eos><eos> |Ref:吾亦从此逝
