除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
风回日暮吹芳芷 风作春风不胜尘<eos> |Ref:月落山深哭杜鹃
官闲如致仕 不敢为文酬<eos><eos><eos> |Ref:客久似无家
人言畏猛虎 万井蛇之云<eos><eos><eos> |Ref:谁是撩头弊
得地牡丹盛 不是一年岁<eos><eos><eos> |Ref:晓添龙麝香
嶔岑猛虎场 不见作沙老<eos><eos><eos> |Ref:郁结回我首
高马达官厌酒肉 旧园开后白云分<eos> |Ref:此辈杼轴茅茨空
长门槐柳半萧疏 不见渔船落苇洲<eos> |Ref:玉辇沈思恨有馀
心忆郡中萧记室 醉成金马出扶眉<eos> |Ref:何时暂别醉乡来
不问人间事 何人不得同<eos><eos><eos> |Ref:忘机过此生
为文易老皆知苦 纵死无言不复知<eos> |Ref:谪宦无名倍足悲
四登会府地 不得为我言<eos><eos><eos> |Ref:三掌华阳兵
越王巧破夫差国 赵子东风起客风<eos> |Ref:来献黄金重雕刻
闾里宽矫步 金羽竞将圆<eos><eos><eos> |Ref:榛丛恣踏踵
至道归淳朴 天高是旅途<eos><eos><eos> |Ref:明珠被弃捐
结翠成新幄 香轻入旧枝<eos><eos><eos> |Ref:开红满故枝
海内戎衣卷 山开月色秋<eos><eos><eos> |Ref:关中贼垒平
散诞时须酒 人间醉与鱼<eos><eos><eos> |Ref:萧条懒向书
芳排红结小 红惹绿条平<eos><eos><eos> |Ref:香透夹衣轻
春时风入户 山竹夜闻钟<eos><eos><eos> |Ref:几片落朝衣
贱臣欲干谒 不是不知鱼<eos><eos><eos> |Ref:稽首期殒碎
不为韩嫣金丸重 将调一一不能传<eos> |Ref:直是周王玉果圆
卓家人寂寞 不是我相思<eos><eos><eos> |Ref:扬子业荒残
精庐水榭最清幽 一种真言不到情<eos> |Ref:一税征车聊驻留
况当圣明主 不知天地非<eos><eos><eos> |Ref:岂乏证玉臣
路创李北海 何处问东山<eos><eos><eos> |Ref:岩开谢康乐
处士不生巫峡梦 山中吹角武陵池<eos> |Ref:虚劳神女下阳台
事往每增伤 不知无所愧<eos><eos><eos> |Ref:宠来常誓止
远谪四年徒已矣 不知何处是吾庐<eos> |Ref:晚生三女拟如何
杏园抛曲处 不见故人来<eos><eos><eos> |Ref:挥袖向风斜
酒香倾坐侧 白露堕中场<eos><eos><eos> |Ref:帆影驻江边
见面虽年少 何人得此时<eos><eos><eos> |Ref:闻名似白头
误因微禄滞南昌 一步东官拜帝宫<eos> |Ref:幽系圜扉昼夜长
秋风动地黄云暮 暮雨青芜野食香<eos> |Ref:归去嵩阳寻旧师
枳闻庐山法 何为白首人<eos><eos><eos> |Ref:松入汉阳禅
马围行处匝 山色不曾红<eos><eos><eos> |Ref:人压看场圆
更无人望青山立 一见孤帆满上天<eos> |Ref:空有帆冲夜色来
清净化人人自理 天间花叶度风边<eos> |Ref:终朝无事更相关
锦荐金炉梦正长 汉家贵乐为扶疏<eos> |Ref:东家咿喔鸡鸣早
猿叫江天暮 风波满席秋<eos><eos><eos> |Ref:虫声野浦寒
兹焉激切句 白日生时去<eos><eos><eos> |Ref:非是等闲歌
簴列钟磬 礼备登迎<eos><eos><eos><eos> |Ref:筵陈脯醢
声声捣秋月 清风闻夜钟<eos><eos><eos> |Ref:肠断卢龙戍
二千里别谢交游 一片飞光出户行<eos> |Ref:三十韵诗慰行役
安道门前水 风流不可闻<eos><eos><eos> |Ref:清游岂独吟
多病加淹泊 山梁一竖郎<eos><eos><eos> |Ref:长吟阻静便
夜宜红蜡照 寒露绿婵娟<eos><eos><eos> |Ref:春称锦筵遮
子房得沛公 不得为刘令<eos><eos><eos> |Ref:自谓相遇迟
前船后船未相及 上楼一榻相相望<eos> |Ref:五两头平北风急
不解早觉悟 不得知所求<eos><eos><eos> |Ref:为人枉虚老
君家诚易知 不知不可论<eos><eos><eos> |Ref:胜绝倾里闾
留连话与方经宿 不见长风不见啼<eos> |Ref:又欲携书别我行
念彼上人者 不得无所得<eos><eos><eos> |Ref:将生付寂寞
行心宁肯住 不见不堪归<eos><eos><eos> |Ref:南去与谁群
向空罗细影 山水暗流光<eos><eos><eos> |Ref:临水泫微明
小人与君子 不得不相识<eos><eos><eos> |Ref:利害一如此
高鉴清洞彻 不觉醉吟迟<eos><eos><eos> |Ref:儒风入进难
否极尝闻泰 何由得苦辛<eos><eos><eos> |Ref:嗟君独不然
住在绿槐阴里 不见春风花枝<eos><eos> |Ref:门临春水桥边
抱琴恣闲玩 此地无闲期<eos><eos><eos> |Ref:执卷堪斜倚
不知诏下悬车后 不得浮缨一举身<eos> |Ref:醉舞狂歌有例无
更入天台石桥去 白云飞处白云来<eos> |Ref:垂珠璀璨拂三衣
持宪当休明 不得得其间<eos><eos><eos> |Ref:饬躬免颠沛
落日明歌席 春风动舞衣<eos><eos><eos> |Ref:行云逐舞人
云随仙驭远 山静客舟迟<eos><eos><eos> |Ref:风助圣情哀
先生已得道 不得不知君<eos><eos><eos> |Ref:市井亦容身
岸落残红锦雉飞 江桥东落锦衣迟<eos> |Ref:渡江船上夕阳微
饮彼石下流 一为山水鸥<eos><eos><eos> |Ref:结萝宿溪烟
梅含露蕊知迎腊 柳落花枝带暖香<eos> |Ref:柳拂宫袍忆候朝
携手登白日 万里动青山<eos><eos><eos> |Ref:远游戏赤城
庙灵安国步 不见子卿名<eos><eos><eos> |Ref:日角动天颜
文章负奇色 不得无瑕疵<eos><eos><eos> |Ref:和鸣多好音
树老萝纡组 还年华旋临<eos><eos><eos> |Ref:岩深石启闺
盛德陈万舞 金印盛三星<eos><eos><eos> |Ref:威棱畅九垓
黄金骄石崇 不知谷谷活<eos><eos><eos> |Ref:与晋争国力
纤草连门留径细 白衣穿落隔阴斜<eos> |Ref:高楼出树见山多
四渎与五岳 不知心不穷<eos><eos><eos> |Ref:名山尽幽窜
如何将此千行泪 不见何人一到乡<eos> |Ref:更洒湘江斑竹枝
落日松风起 风光松草深<eos><eos><eos> |Ref:还家草露晞
富贵百年能几何 不知一死不能生<eos> |Ref:死生一度人皆有
芦帘前后卷 诗句满庭帷<eos><eos><eos> |Ref:竹簟当中施
问心常寂乐 不是一生春<eos><eos><eos> |Ref:为别岂伤魂
他时躧履声 不得见新诗<eos><eos><eos> |Ref:晓日照丹阙
官不来 不可得<eos><eos><eos><eos><eos> |Ref:门幽幽
都缘用久锋头尽 不觉风光似梦中<eos> |Ref:不得羲之手里擎
早知安边计 何人得得歌<eos><eos><eos> |Ref:未尽平生怀
举朝明典教 不为风尘期<eos><eos><eos> |Ref:封纳诏书频
自指燕山最高石 一人随水满楼池<eos> |Ref:不知谁为勒殊功
渚蒲随地有 不是是人生<eos><eos><eos> |Ref:村径逐门成
开帘览镜悲难语 落日闲僧笑自愁<eos> |Ref:对面相看孟门阻
骊龙颔下亦生珠 玉女人间笑客舟<eos> |Ref:便与人间众宝殊
篇章动玉京 一飞白云树<eos><eos><eos> |Ref:坠叶满前程
荣销枯去无非命 养得灵人得养云<eos> |Ref:壮尽衰来亦是常
楚山千里一僧行 不得无人作钓矶<eos> |Ref:念尔初缘道未成
风雨已吹灯烛灭 月华犹带凤凰恩<eos> |Ref:姓名长在齿牙寒
徐州带绿水 一日入天明<eos><eos><eos> |Ref:楚国在青霄
日消石桂绿岚气 山对水山清<unk>清<eos> |Ref:风坠木兰红露浆
花园欲盛千场饮 山静犹应一寸生<eos> |Ref:水阁初成百度过
迢递天南面 何如海上湖<eos><eos><eos> |Ref:苍茫海北漘
河冰连地冻 山色隔山深<eos><eos><eos> |Ref:朔气压春寒
一日日知添老病 不须相见问闲情<eos> |Ref:一年年觉惜重阳
沈牛答云雨 不复慰君子<eos><eos><eos> |Ref:如马戒舟航
不作经年别 何人不见君<eos><eos><eos> |Ref:离魂亦未伤
朝野欢娱乐未央 东阳征赋贺花飞<eos> |Ref:车马骈阗盛彩章
二仙去已远 江月不相思<eos><eos><eos> |Ref:梦想空殷勤
舍下雄鸡失一足 此中见我何所求<eos> |Ref:街头小福拉三拳
生离不可诉 何必为车书<eos><eos><eos> |Ref:上天何曾聪
贾生十八称才子 不得相逢作一年<eos> |Ref:空得门前一断肠
惯缘嶮峭收松粉 乞气闲看玉叶寒<eos> |Ref:常趁芳鲜掇茗芽
新人迎来旧人弃 不知今日不相逢<eos> |Ref:掌上莲花眼中刺
药化成白云 不知生死人<eos><eos><eos> |Ref:形凋辞素穴
更登天禄阁 不得此交亲<eos><eos><eos> |Ref:极眺终南岫
鼎消微是滓 幽浅不如金<eos><eos><eos> |Ref:车碾半和尘
风随少女至 花向君中看<eos><eos><eos> |Ref:虹共美人归
来使黔南日 何人道南乡<eos><eos><eos> |Ref:时应问寂寥
麋鹿同上山 不知无所得<eos><eos><eos> |Ref:莲藕同在泥
翠蛾愁 不可得<eos><eos><eos><eos><eos> |Ref:不抬头
秋江无绿芷 清来不古田<eos><eos><eos> |Ref:寒汀有白蘋
自笑中华路 何人不可寻<eos><eos><eos> |Ref:年年送远人
酒肴虽日陈 不得金门下<eos><eos><eos> |Ref:感激宁为欢
请问此何时 不知天地远<eos><eos><eos> |Ref:恢台朱明月
火炎逢六月 何人见此堂<eos><eos><eos> |Ref:金伏过三庚
独有梦中魂 不知心不足<eos><eos><eos> |Ref:犹言意如故
白云从冢出 月后上来多<eos><eos><eos> |Ref:秋草为谁荒
玉兔轮中方是树 轻灵细浅似淘金<eos> |Ref:金鳌顶上别无山
微臣比翔泳 圣主无世程<eos><eos><eos> |Ref:恩广自无涯
岸沙崩橘树 风水动松篁<eos><eos><eos> |Ref:山径入茶苗
城阙天中近 山中日日斜<eos><eos><eos> |Ref:蓬瀛海上遥
青云名士时相访 不得心间醉与杯<eos> |Ref:茶煮西峰瀑布冰
玉帛殊方至 春来日日斜<eos><eos><eos> |Ref:歌钟比屋闻
舟移明镜里 不见白头人<eos><eos><eos> |Ref:路入画屏中
萧条四海内 不得一生还<eos><eos><eos> |Ref:人少豺虎多
道殷合眼拜九列 天衢合兮人可宜<eos> |Ref:张濬掉舌升三台
活花起舞夜春来 一片清明一夜开<eos> |Ref:蜡焰煌煌天日在
将交洛城雨 日照汉河天<eos><eos><eos> |Ref:稍远长安日
此时蓬阁友 不得酒书筵<eos><eos><eos> |Ref:应念昔同衾
负羽到边州 不见归来别<eos><eos><eos> |Ref:鸣笳度陇头
病中无限花番次 一局移书月已悬<eos> |Ref:为约东风且住开
屏间佩响藏歌妓 楼上游深碧陌纹<eos> |Ref:幕外刀光立从官
登山自补屐 老者无求禽<eos><eos><eos> |Ref:访友不赍粮
隐起双蟠龙 一枝作雕<unk><eos><eos><eos> |Ref:衔珠俨相向
故国三千里 何人不得归<eos><eos><eos> |Ref:深宫二十年
冰消通浅溜 山石映空芜<eos><eos><eos> |Ref:气变跃潜鱼
玉杯分湛露 玉辇引凌波<eos><eos><eos> |Ref:金勒借追风
残年傍水国 不见到君王<eos><eos><eos> |Ref:落日对春华
翩翩幕下来 不觉为欢清<eos><eos><eos> |Ref:拜赐甘泉宫
朝衣典杯酒 不得临玉堂<eos><eos><eos> |Ref:佩剑博牛羊
相招直城外 一夜一声成<eos><eos><eos> |Ref:远远上春台
安民即是道 不是是吾师<eos><eos><eos> |Ref:投足皆为家
园深宜竹树 风雨满舟船<eos><eos><eos> |Ref:帘卷洽杯盘
东轩海日已先照 东海归程何足久<eos> |Ref:下界晨鸡犹未啼
平沙万里馀 不得不相逢<eos><eos><eos> |Ref:飞鸟宿何处
拜职尝随骠 何人似白龙<eos><eos><eos> |Ref:铭功不让班
茅堂近丹阙 天际照青霄<eos><eos><eos> |Ref:佳致亦何深
何必到清谿 山花不可怜<eos><eos><eos> |Ref:忽来见沧洲
五灯绕身生 不知长在语<eos><eos><eos> |Ref:入烟去无影
酡颜醉后泣 不觉鬓毛丝<eos><eos><eos> |Ref:小女妆成坐
画戟门前难作客 青山西上酒题诗<eos> |Ref:钓鱼船上易安身
北极朝廷终不改 东家王粲为西阙<eos> |Ref:西山寇盗莫相侵
南厢俨容卫 羽旗扬荡飙<eos><eos><eos> |Ref:音响如可聆
山断水茫茫 山河春水甲<eos><eos><eos> |Ref:洛人西路长
臣心寄远水 不知何处秋<eos><eos><eos> |Ref:朝海去如带
莫畏炎方久 何人事有非<eos><eos><eos> |Ref:年年雨露新
万龄龟菌等 不问屈一人<eos><eos><eos> |Ref:一死天地平
吹霞弄日光不定 飞电动贯神神清<eos> |Ref:暖得曲身成直身
负米无远近 不得不相思<eos><eos><eos> |Ref:所希升斗归
梦入琼楼寒有月 人看折药不成温<eos> |Ref:行过石树冻无烟
子规谁共听 不是不知酬<eos><eos><eos> |Ref:江月上清岑
舜没苍梧野 风吹白露秋<eos><eos><eos> |Ref:凤归丹穴岑
诸谢偏推永嘉守 不堪清净不同来<eos> |Ref:三何独许水曹郎
人幽想灵山 不知心不知<eos><eos><eos> |Ref:意惬怜远水
阆苑驾将雕羽去 金坛封时白雪寒<eos> |Ref:洞天赢得绿毛生
人心未肯抛膻蚁 强把时教换白眉<eos> |Ref:弟子依前学聚萤
大汉昔未定 何处不相识<eos><eos><eos> |Ref:强秦犹擅场
家亡国破一场梦 身病何时一剑山<eos> |Ref:惆怅又逢寒食天
穷泉那复晓 江水独相思<eos><eos><eos> |Ref:乔木不知秋
竹间驻马题诗去 山外金舆舞马回<eos> |Ref:物外何人识醉游
戎衣挂宝剑 白首上龙车<eos><eos><eos> |Ref:玉箸衔金杯
囊乏向咸镐 天人接列楼<eos><eos><eos> |Ref:马重迟步骤
蜀僧抱绿绮 一曲清金龙<eos><eos><eos> |Ref:西下峨眉峰
思君独步西垣里 玉门万里含千枝<eos> |Ref:日日含香草诏书
诏深荣嗣子 不得得其间<eos><eos><eos> |Ref:海变记孤坟
南陌北堂连北里 东行犹见到天津<eos> |Ref:五剧三条控三市
輶车花拥路 春色柳成田<eos><eos><eos> |Ref:宝剑雪生光
莫欺泥土脚 不得看花看<eos><eos><eos> |Ref:曾蹋玉阶来
妾身愿作巫山云 白玉泪泪泪不眠<eos> |Ref:飞入仙郎梦魂里
欲向文通径 山城梦入帘<eos><eos><eos> |Ref:先游武子家
牛头高一尺 不得不可论<eos><eos><eos> |Ref:隔坐应相见
常言龙德本天仙 不知化作无心人<eos> |Ref:谁谓仙人每学仙
宛彼汉中郡 不见此时名<eos><eos><eos> |Ref:文雅见天伦
右职移青绶 何由问此身<eos><eos><eos> |Ref:雄藩拜紫泥
先生事业不可量 吾道我子兮不知<eos> |Ref:惟用法律自绳己
檀的慢调银字管 锦池香染锦罗裙<eos> |Ref:云鬟低缀折枝花
春衫窄 不可得<eos><eos><eos><eos><eos> |Ref:香肌湿
虽然舞袖何曾舞 不觉真真有才调<eos> |Ref:常对春风裛泪痕
日近风先满 山中月不开<eos><eos><eos> |Ref:仁深泽共流
今朝树上啼 一日月不出<eos><eos><eos> |Ref:哀音断还续
独卧嵩阳客 何人不得同<eos><eos><eos> |Ref:三违颍水春
望树繁花白 风阴红叶红<eos><eos><eos> |Ref:看峰小雪新
唯有汉二疏 不是为不得<eos><eos><eos> |Ref:应觉还家晚
且珍纨素美 不见荐仙音<eos><eos><eos> |Ref:当与薜萝疏
沧洲有约心还静 松月深窗鹤亦闲<eos> |Ref:青汉无媒迹自疏
祖席洛桥边 春风入酒频<eos><eos><eos> |Ref:亲交共黯然
各在天一涯 不见一山上<eos><eos><eos> |Ref:何时得相见
殷勤问渔者 不得是人寰<eos><eos><eos> |Ref:暂借手中钩
得实翻苍竹 清声动白蘋<eos><eos><eos> |Ref:栖枝把翠梧
不辞辛苦来东道 不觉山前夜夜钟<eos> |Ref:只为箫韶朝夕闻
日布玲珑影 山中雨滴斜<eos><eos><eos> |Ref:风翻浩荡波
如何一花发 一一一杯心<eos><eos><eos> |Ref:春梦遍江潭
楚树七回凋旧叶 秦城一曲不知愁<eos> |Ref:江人两至宿秋风
闲驱竹马缓归家 醉尽春花似日时<eos> |Ref:官军自杀容州槎
偶与真意并 何必知君不<eos><eos><eos> |Ref:顿觉世情薄
举善必称最 天心自无穷<eos><eos><eos> |Ref:持奸当去尤
阳精欲出阴精落 天子无由事羽翰<eos> |Ref:天地包含紫气中
势矫翔阳翰 天涯道国归<eos><eos><eos> |Ref:功分造化炉
鲜飙收晚翠 山色入春风<eos><eos><eos> |Ref:佳气满晴空
玉树笼烟鳷鹊观 碧窗寒雨玉雕寒<eos> |Ref:石渠流水凤凰池
庙堂多暇日 不得见诗时<eos><eos><eos> |Ref:山水契中情
后殿未闻宫主入 东西不见凤楼台<eos> |Ref:东门先报下金车
共喜光华日 清晨照玉墀<eos><eos><eos> |Ref:酣歌捧玉杯
已觉良宵永 清风不可思<eos><eos><eos> |Ref:何看骇浪翻
江界田土卑 所以知我公<eos><eos><eos> |Ref:竞来东作勤
星郎雅是道中侣 不似君王为道生<eos> |Ref:六艺拘牵在隗台
穷冬百草死 日日千峰万<eos><eos><eos> |Ref:幽桂乃芬芳
至今想在耳 不得无我间<eos><eos><eos> |Ref:玉音尚玲玲
参差碧山路 不见青山时<eos><eos><eos> |Ref:目送江帆疾
桑榆惨无色 白日不成春<eos><eos><eos> |Ref:伫立暮霏霏
两旬绵密雨 一声龙不寒<eos><eos><eos> |Ref:二月似深冬
善道居贫贱 不知知我贫<eos><eos><eos> |Ref:洁服蒙尘埃
曾陪剑履升鸾殿 列帝文书出玉炉<eos> |Ref:欲谒旌幢入鹤楼
相忆情难尽 春风思易愁<eos><eos><eos> |Ref:离居春草多
尚想燕飞来蔽日 春风似尽度来花<eos> |Ref:终疑鹤影降凌云
稽古堪求己 何人得得言<eos><eos><eos> |Ref:观时好笑渠
青青高槐叶 寒风落日香<eos><eos><eos> |Ref:采掇付中厨
未曾周顗醉 还随郑侄愁<eos><eos><eos> |Ref:转觉季心恭
杨柳花飘新白雪 一头泪湿白斑丝<eos> |Ref:樱桃子缀小红珠
初疑遇敌身启行 不知一言知羽翰<eos> |Ref:终象由文士宪左
中原正格斗 不敢夜移迎<eos><eos><eos> |Ref:后会何缘由
战龙思王业 天涯不得名<eos><eos><eos> |Ref:倚马赋神功
春来津树合 山连野屿微<eos><eos><eos> |Ref:月落戍楼空
白璧加荐 神祇荐备<eos><eos><eos><eos> |Ref:玄纁告虔
丛丛寒水边 一片夜中山<eos><eos><eos> |Ref:曾折打鱼船
翠羽偷鱼入 山桥伴鸟归<eos><eos><eos> |Ref:红腰学舞回
弱柳从风疑举袂 枝花煎露半沾丝<eos> |Ref:丛兰裛露似沾巾
中天有高阁 不得青山前<eos><eos><eos> |Ref:图画何时歇
风幔何时卷 山中不见君<eos><eos><eos> |Ref:寒砧昨夜声
巨孽盗都城 不知一剑足<eos><eos><eos> |Ref:传闻天下惊
碧涧虽多雨 山山不有光<eos><eos><eos> |Ref:秋沙先少泥
携置南檐下 风吹满砌蝉<eos><eos><eos> |Ref:举酌自殷勤
岁去人头白 山花日日红<eos><eos><eos> |Ref:秋来树叶黄
残漏五更传海月 剑笼空挂九霄楼<eos> |Ref:清笳三会揭天风
佩剑冲星聊暂拔 为君相访老相亲<eos> |Ref:匣琴流水自须弹
系牒公侯裔 何必问忠良<eos><eos><eos> |Ref:悬弧将相儿
终当税尘驾 不见天地通<eos><eos><eos> |Ref:盥濯依春溪
龙文百斛鼎 人谋不解斤<eos><eos><eos> |Ref:笔力可独扛
横波美目虽往来 白首相逢为酒辞<eos> |Ref:罗袂遥遥不相及
经今三十馀年事 不得金銮第一行<eos> |Ref:却说还同昨日时
小苑莺歌歇 山桥鸟雀低<eos><eos><eos> |Ref:长门蝶舞多
长门槐柳半萧疏 不见渔船落苇洲<eos> |Ref:玉辇沉思恨有馀
似君无学处 不是白头翁<eos><eos><eos> |Ref:头白道如初
大汉历五叶 一为青山山<eos><eos><eos> |Ref:斯文复崇推
月华星彩坐来收 一片风华酒不醒<eos> |Ref:岳色江声暗结愁
眼疼长不校 不敢得相逢<eos><eos><eos> |Ref:肺病且还无
分曹幸同简 何必为金闺<eos><eos><eos> |Ref:联骑方惬素
晚岁宦情薄 不觉愁渐长<eos><eos><eos> |Ref:行军欢宴疏
乱山青翠郡城东 山水幽凉不可寻<eos> |Ref:爽节凭高一望通
朝亦常苦饥 不得无所得<eos><eos><eos> |Ref:暮亦常苦饥
羁孤力行早 不知归路赊<eos><eos><eos> |Ref:疏贱托身迟
游吴还适越 不得不相逢<eos><eos><eos> |Ref:来往任风波
归期北州里 不见东南人<eos><eos><eos> |Ref:旧友东山客
武皇南面曙欲分 风光万里无人回<eos> |Ref:从空下来玉杯冷
聊假一杯欢 不得一杯出<eos><eos><eos> |Ref:暂忘终日迫
惊麏游兔在我傍 独唱乡歌怨歌舞<eos> |Ref:独唱乡歌对僮仆
无事今朝来下狱 不知此事是谁知<eos> |Ref:谁期十月是横河
焉知汉高士 不知此生心<eos><eos><eos> |Ref:莫识越鸱夷
牵苦强为赠 不得不相亲<eos><eos><eos> |Ref:邦邑光峨峨
寄名朝士籍 不得不相知<eos><eos><eos> |Ref:寓兴少年场
涧底红光夺目燃 忽随天下听其声<eos> |Ref:摇风有毒愁行客
雨过闲田地 无人不见君<eos><eos><eos> |Ref:重重落叶红
李琼夺得造化本 玉斝自立如其神<eos> |Ref:都卢缩在秋毫端
花柳三春节 何人不得来<eos><eos><eos> |Ref:江山四望悬
坎祀贻则 永以无私<eos><eos><eos><eos> |Ref:郊禋展敬
安排未定时 不得不可知<eos><eos><eos> |Ref:心火竞荧荧
心灵栖颢气 清阁上仙尘<eos><eos><eos> |Ref:缨冕犹缁尘
各拔五色毛 不知不可怜<eos><eos><eos> |Ref:意重泰山轻
雾昏不见西陵岸 秋夜无心夜听天<eos> |Ref:风急先闻瀑布声
多君秉古节 万里连天津<eos><eos><eos> |Ref:岳立冠人曹
层城无复见娇姿 不觉无情不放情<eos> |Ref:佳节缠哀不自持
孕灵资雨露 一夜见人寰<eos><eos><eos> |Ref:钟秀自山川
窗临凤凰沼 不得此朝谒<eos><eos><eos> |Ref:飒飒雨声来
赵壹能为赋 何人得有情<eos><eos><eos> |Ref:邹阳解献书
即应调鼎味 不敢问吾夫<eos><eos><eos> |Ref:比屋堪封保
山雨迎军晚 风风入旆春<eos><eos><eos> |Ref:芦风候火微
甘从此后支离卧 夜卧寒心见月明<eos> |Ref:赖是从前烂漫游
善败虽称怯 此生不能过<eos><eos><eos> |Ref:骄盈最易欺
穷达恋明主 何必问胡机<eos><eos><eos> |Ref:耕桑亦近郊
已悲泉下双琪树 不觉风光似玉除<eos> |Ref:又惜天边一卧龙
应笑北原上 不见白云来<eos><eos><eos> |Ref:丘坟乱如蚁
筛月牵诗兴 何人不得同<eos><eos><eos> |Ref:笼烟伴酒杯
洞庭已置新居处 南笛含生腊晚欢<eos> |Ref:归去安期与作邻
上帝配食 礼德惟馨<eos><eos><eos><eos> |Ref:单于入臣
嶙峋一片溪中石 不得无由无限声<eos> |Ref:恰称幽人弹素琴
闻道收宗庙 天涯入御人<eos><eos><eos> |Ref:鸣銮自陕归
蝶影将花乱 春深草木新<eos><eos><eos> |Ref:虹文向水低
别有真人气 风吹一字章<eos><eos><eos> |Ref:安知名不名
庭廓云初卷 山花雨已残<eos><eos><eos> |Ref:林明月正圆
垂钓石台依竹垒 却过江湖一度云<eos> |Ref:待宾茶灶就岩泥
想得月中仙桂树 一枝飞著白杨花<eos> |Ref:各从生日长新枝
绿影竞扶疏 人间安可得<eos><eos><eos> |Ref:红姿相照灼
终希脱尘网 不复相相随<eos><eos><eos> |Ref:连翼下芝田
怒湍初抵北 云色不离中<eos><eos><eos> |Ref:却浪复归东
归来池苑皆依旧 不得闲居不得闲<eos> |Ref:太液芙蓉未央柳
醉中惊老去 不是见君时<eos><eos><eos> |Ref:笑里觉愁来
万乘既已殁 何必无尘埃<eos><eos><eos> |Ref:孤舟谁忍还
关城树色催寒近 北浦风雷起去稀<eos> |Ref:御苑砧声向晚多
遥知客舍饮 不觉水声声<eos><eos><eos> |Ref:醉里闻春鸠
身乐道家流 何人知道业<eos><eos><eos> |Ref:惇儒若一矩
共看玉蟾三皎洁 不见江湖是石桥<eos> |Ref:独悬金锡一玲珑
岂无故乡路 不见一时归<eos><eos><eos> |Ref:路远未成归
商山夏木阴寂寂 水脉漠江空相依<eos> |Ref:好处徘徊驻飞锡
赖逢富人侯 不得我者子<eos><eos><eos> |Ref:真东晋谢公
醉眠街北庙 不见马中儿<eos><eos><eos> |Ref:闲绕宅南营
避旗飞鹭翩翻白 过笛惊丝管碎繁<eos> |Ref:惊鼓跳鱼拨剌红
几年山下事仙翁 一棹诗翁日到人<eos> |Ref:名在长生箓籍中
不将千里隔 不见一枝归<eos><eos><eos> |Ref:何用一丸泥
诗句偶未得 不觉心心深<eos><eos><eos> |Ref:酒杯聊久持
连枝不日并 不得长飞飞<eos><eos><eos> |Ref:八座几时除
新参将相事营平 不知何人不可知<eos> |Ref:锦带騂弓结束轻
独鹤寄烟霜 相思无梦思<eos><eos><eos> |Ref:双鸾思晚芳
的应未有诸人觉 不见江湖见水流<eos> |Ref:只是严郎不得知
一身三十六宫夜 一月无如白云时<eos> |Ref:露滴玉盘青桂秋
香萼媚红滋 花色深绿绿<eos><eos><eos> |Ref:垂条萦绿丝
鱼通蓑衣城 春深春梦咽<eos><eos><eos> |Ref:帆过菱花田
初还相印罢戎旃 归过长生作几同<eos> |Ref:获守皇居在紫烟
天外浮烟远 春风带雨深<eos><eos><eos> |Ref:山根野水交
雕盘贺喜开瑶席 金辂衔迎上紫衣<eos> |Ref:彩笔题诗出锁闱
援少风多力 山高月欲深<eos><eos><eos> |Ref:墙高月有痕
斗柄更初转 一声无处穷<eos><eos><eos> |Ref:梅香暗里残
园果尝难遍 春风绿未成<eos><eos><eos> |Ref:池莲摘未稀
选才当重委 风光自不舒<eos><eos><eos> |Ref:足食乃深功
弢弓一长啸 不见一雁归<eos><eos><eos> |Ref:忆在灞城阡
挥泪洒暮天 万里愁魂深<eos><eos><eos> |Ref:滴著桂树枝
借问陇头水 一日望南山<eos><eos><eos> |Ref:终年恨何事
感君缠绵意 何由不可寻<eos><eos><eos> |Ref:系在红罗襦
暝驱羸马频看堠 放喜辞人不见官<eos> |Ref:晓听鸣鸡欲度关
君王正年少 不得见长安<eos><eos><eos> |Ref:终日在长杨
乡书何所报 不是此生人<eos><eos><eos> |Ref:紫蕨生石云
彼岸闻山钟 山阴不能度<eos><eos><eos> |Ref:仙舟过苕水
争如燕雀偏巢此 水底花空草绿丝<eos> |Ref:却是鸳鸯不得栖
乃武乃文 不为不知<eos><eos><eos><eos> |Ref:或公或侯
孤猿坐啼坟上月 一年不得不如过<eos> |Ref:且须一尽杯中酒
湘水清且急 不复为我心<eos><eos><eos> |Ref:凉风日修修
名在相公幕 何人得是心<eos><eos><eos> |Ref:丘山恩未酬
汉使得张纲 不敢为忠贞<eos><eos><eos> |Ref:威名摄远方
寂寂闻猿愁 山川见棹行<eos><eos><eos> |Ref:行行见云收
百二山河雄上国 五陵春色一南流<eos> |Ref:一双旌旆委名臣
沟渠通疏荷 山川接清谷<eos><eos><eos> |Ref:浦屿隐浅筱
低檐一枝在 不觉一声清<eos><eos><eos> |Ref:犹占满堂春
得地自成丛 不知无所得<eos><eos><eos> |Ref:那因种植功
千尺长条百尺枝 一条白马向飞飞<eos> |Ref:月桂星榆相蔽亏
送别王孙处 何人见此乡<eos><eos><eos> |Ref:萋萋南浦边
萧萧青枫岸 春流沧海津<eos><eos><eos> |Ref:去掩江山宅
天子既穆穆 玉尘自纷纷<eos><eos><eos> |Ref:群材亦森森
旋登三径路 不见一年留<eos><eos><eos> |Ref:似陟九嶷山
但使武皇心似烛 不将三剑作吾君<eos> |Ref:江充不敢作江充
