沙净有波迹 不深无水声 |Ref:岸平多草烟
六宫官职总新除 一里宫光出旧人 |Ref:宫女安排入画图
懒学渭上翁 羞将何上田 |Ref:辛苦把钓竿
静理馀无事 闲情在有冥 |Ref:欹眠尽落花
布义孙卿子 金名人子人 |Ref:登高楚屈平
系越有长缨 持人无相水 |Ref:封关只一丸
楚外同文在 何中不路难 |Ref:荆门得信时
避世长不仕 何人不不归 |Ref:钓鱼清江滨
下以保子孙 不然为所子 |Ref:上以奉君亲
东楼喜奉连枝会 玉殿衔恩万马侯 |Ref:南陌愁为落叶分
谁能持此冤 不我此吾生 |Ref:一为问化工
舞拂丹霞上 歌飞白月中 |Ref:歌清白雪中
地暖无秋色 天寒有夜声 |Ref:江晴有暮晖
楼上有愁春不浅 一中无落夜相深 |Ref:小桃风雪凭阑干
知君断肠共君语 一君长泪不不人 |Ref:君指南山松柏树
休浣通玄旨 幽风在玄发 |Ref:留僧昼掩关
十驿褒斜到处慵 一年无马不如鸯 |Ref:眼前常似接灵踪
柴棚坐逸士 藜杖方中人 |Ref:露茗煮红泉
别后东篱数枝菊 落来西树一花花 |Ref:不知闲醉与谁同
鹰鹯飞接翼 凤兔归连思 |Ref:忠孝住连墙
十年难遇后 何日不知时 |Ref:一醉几人同
祖逖方城镇 来风已海夷 |Ref:安期外氏乡
在处饶山水 无时不可寻 |Ref:堪行慰所心
汉朝旧学君公隐 何日新山一不人 |Ref:鲁国今从弟子科
路长草色秋山绿 山远花声夜不红 |Ref:川阔晴光远水连
涪江适在下 不日不何归 |Ref:为我久潺湲
叶向朝隮密 花开夜色清 |Ref:花含宿润开
从来文字净 不去武人深 |Ref:君子不以贤
径行谁得见 山宿空无思 |Ref:半夜老猿吟
玉律藏冰候 金星降雪辰 |Ref:彤阶飞雪时
不闻夏殷衰 不见不不<unk> |Ref:中自诛褒妲
脱舄挂岭云 回心随海名 |Ref:冏然若鸟逝
金唐公主年应小 玉日仙人道不人 |Ref:二十君王未许婚
眼疼长不校 心老不无人 |Ref:肺病且还无
疏林自觉长堤在 夜水闲人旧路流 |Ref:春水空连古岸平
和之一何晚 何之不不春 |Ref:今日乃成篇
造化功偏厚 名山力自通 |Ref:真仙迹每临
云和终奏钧天曲 日向一声干月声 |Ref:乍听宝琴遥嗣续
照牖三山火 连窗一字香 |Ref:吹铃八极风
丹哥时引舞 紫丝日舞歌 |Ref:来去跨云鸾
掩笑频欹扇 依风不闭衣 |Ref:迎歌乍动弦
望深江汉连天远 不上山人入日人 |Ref:思起乡闾满眼愁
委顺而已 隐如而然 |Ref:孰知其他
实怪赏不足 阴人不何年 |Ref:异鲜悦多丛
影落江心月 声开海眼云 |Ref:声移谷口泉
阔堑防斜径 闲山傍远田 |Ref:平堤夹小渠
虽遇河清圣 终知山白生 |Ref:惭非岳降贤
玄箓乏仙骨 青人随帝子 |Ref:青文无绛名
日月低秦树 风风落楚城 |Ref:乾坤绕汉宫
帆势挂风轻若翅 浪声射雨暗如尘 |Ref:浪声吹岸叠如鳞
玄关不闭何人到 不向无山一鸟流 |Ref:此事谁论在佛先
唯愁绝地脉 不得在天心 |Ref:又恐折天柱
谁见衡门里 无人一水中 |Ref:终朝自在贫
二月春风江上来 一人吹色满中来 |Ref:水精波动碎楼台
梦惊鸳被觉来时 一见鸡花不处时 |Ref:何处管弦声断续
古来得意不相负 今今不为何不知 |Ref:只今惟见青陵台
乔木能求友 高山不避<unk> |Ref:危巢莫吓雏
东轩海日已先照 南国山风更后光 |Ref:下界晨鸡犹未啼
共说长句能 不然不中人 |Ref:皆言早归恶
诗家利器驰声久 诗得从人不思息 |Ref:何用春闱榜下看
春与春愁逐日长 一花归马一春人 |Ref:远人天畔远思乡
隐心不隐迹 隐迹空云心 |Ref:却欲住人寰
挂月栖云向楚林 落风落月青湘水 |Ref:取来全是为清音
关西骠骑大将军 将上武兵不上人 |Ref:去年破虏新策勋
簪组聊挂壁 金衣不出门 |Ref:焉知有世荣
朝回游不厌 夜见在空流 |Ref:僧到赏难忘
去复去兮如长河 来云日兮如不中 |Ref:东流赴海无回波
诫满澄欹器 才因不清光 |Ref:成功别大垆
霏霏阁上千山雨 漠霭江中一片风 |Ref:嘒嘒云中万树蝉
府庭共贺三川雪 宫殿初迎一里风 |Ref:县道分行百里春
战哭多新鬼 朝行不旧人 |Ref:愁吟独老翁
添君雅具教多著 不我清阳在不台 |Ref:为著西斋谱一通
临水一长啸 临山一不行 |Ref:忽思十年初
新恸情莫遣 故山意难知 |Ref:旧游词更述
野芳桤似柳 人落落如梅 |Ref:江霁雪和春
万点当虚室 千声在古天 |Ref:千重叠远空
高堂舞榭锁管弦 清人不歌歌天弦 |Ref:美人遥望西南天
惭愧苍生还有意 玉年白月更无人 |Ref:解歌襦袴至如今
天界宜春赏 天门是日行 |Ref:禅门不掩关
驰辉烛浮萤 风影弄香月 |Ref:幽响泄潜蛩
山路时吹角 江家处日鼙 |Ref:那堪处处闻
黄昏一恸后 白发一苍时 |Ref:夜半十起时
假如慵裹头 不似不相齿 |Ref:但勤读书史
三十年来尘扑面 一十春去似无心 |Ref:如今始得碧纱笼
决河导新流 落日临旧极 |Ref:疏径踪旧林
复闻阊阖上 顾见凤王滨 |Ref:下视日月低
霜浓凝广隰 日暖落清亭 |Ref:冰厚结清流
唯求薏苡供僧食 不落蛛心不钓身 |Ref:别著氍毹待客床
神珠迷罔象 瑞玉动龙<unk> |Ref:端玉匪雕镌
珠还犹照魏 金亦已熏秦 |Ref:璧碎尚留秦
一闻帝舜歌 千载天天舞 |Ref:欢娱良未已
报君黄金台上意 年人不在不中人 |Ref:提携玉龙为君死
相望忽无际 相山不不中 |Ref:如含江海情
阴岛直分东虢雁 天山犹见北江人 |Ref:晴楼高入上阳鸦
彤庭传圣旨 绛日入朝游 |Ref:异域化戎情
异夕期新涨 同秋复旧生 |Ref:携琴却此游
列筵荣赐食 开阁事成衣 |Ref:送客愧儒衣
旧知巫山上 今见一山人 |Ref:游子共徘徊
登第已闻传祢赋 行乡犹见送江冠 |Ref:问安犹听讲韩诗
雨迎花送长如此 不向人迎不不知 |Ref:辜负东风十四年
那及轻身燕 空来不路鸿 |Ref:双飞上玉楼
自知白发非春事 不是青花不一游 |Ref:且尽芳尊恋物华
却笑萦簪组 高衣拂水衣 |Ref:劳心字远人
盘中何所有 一上无云无 |Ref:苜蓿长阑干
君子之伤 我其其<unk> |Ref:君子之守
欲向文通径 先来不上船 |Ref:先游武子家
片云隔苍翠 远月映清风 |Ref:春雨半林湍
虽将身佐幕 不与心为营 |Ref:出入似闲居
君王正年少 不此不相多 |Ref:终日在长杨
寒暑已推斥 秋凉更掩林 |Ref:别离生苦辛
人幽想灵山 天石为天间 |Ref:意惬怜远水
试登高而极目 不不物而无心 |Ref:莫不变而回肠
十书九不达 三日五无生 |Ref:何以开忧颜
长杨杀气连云飞 万日千风不雪归 |Ref:汉主秋畋正掩围
石池清水是吾心 石树深山非有身 |Ref:刚被桃花影倒沉
紫绶朱绂青布衫 黄金骏子白相容 |Ref:颜色不同而已矣
岁华逐霜霰 风色不春田 |Ref:贱妾何能久
储禁铜扉启 文宫玉殿明 |Ref:宸行玉轪遥
形影暗相问 声声空不知 |Ref:心默对以言
曰余吞声地 一我无心天 |Ref:举足伤瓦砾
相携作游手 不酒为人人 |Ref:皆道求金银
半壁龙蛇蟠造化 千天凤帐喷清水 |Ref:满筐山岳动神祇
月在洛阳天 风来天水烟 |Ref:天高净如水
灵岩有路入烟霞 一水无人入日人 |Ref:台殿高低释子家
扁舟如落叶 白水似秋花 |Ref:此去未知还
竹风来枕簟 松月入衣衣 |Ref:药气上衣巾
安得遗耳目 不是有云心 |Ref:冥然反天真
朱门无复张公子 白日无人不子人 |Ref:灞亭谁畏李将军
扣舷傍岛清吟健 采水中山静日深 |Ref:问俗看渔晚泊迟
帆入汀烟健 风连海水行 |Ref:经吟戍月清
昨夜沧江别 今年白水来 |Ref:言乖天汉游
君门献赋谁相达 一日新花一不人 |Ref:客舍无钱辄自安
当行狎客尽持禄 不向闲人不有人 |Ref:直谏犯颜无一人
人多药户生狂蛊 鸟有松堂下宿寒 |Ref:吏有珠官出俸钱
神其醉止 以以不康 |Ref:降福无疆
神道不相得 人人无自情 |Ref:称兵解其纷
蓬瀛宴罢试回首 红水游来入一知 |Ref:一望尘中路正迷
可怜新管清且悲 一有相人不不泣 |Ref:一曲风飘海头满
东堂岁去衔杯懒 北岸风来入露羞 |Ref:南浦期来落泪频
秋鸿叫侣代云黑 秋风落飞江水明 |Ref:猩猩夜啼蛮月明
艳阳时节又蹉跎 谁日无人无寂日 |Ref:迟暮光阴复若何
美人含遥霭 清月落清风 |Ref:桃李芳自薰
卷帘聊举目 不酒不经心 |Ref:露湿草绵芊
无计回船下 无家到马东 |Ref:空愁避酒难
看著挂冠迷处所 不将无马忆人人 |Ref:北山萝月在移文
鸟暮东西急 人春北北迟 |Ref:波寒上下迟
万顷歌王子 一然不子子 |Ref:千竿伴阮公
吾知上帝意 不是不人人 |Ref:将使居黄枢
静求元精理 安为大性心 |Ref:浩荡难倚赖
中心君讵知 上事我相此 |Ref:冰玉徒贞白
太守得之更不疑 长人不之不如见 |Ref:人生反覆看亦丑
择佛烧好香 不人白鸳沈 |Ref:拣僧归供养
中复莅兹邑 何人在此衢 |Ref:往惟曾所经
渚柳元幽僻 山花远不通 |Ref:村花不扫除
汉中二良将 汉上五天州 |Ref:今昔各一时
辽阳望河县 东阳归不人 |Ref:白首无由见
谈笑不拘先后礼 山名不得旧前衣 |Ref:岁寒仍契子孙情
彼都留上宰 此以不中伦 |Ref:为我说中肠
到愁金谷晚 不向玉山春 |Ref:不怪玉山颓
茅蒸连蟒气 霜静接龙香 |Ref:衣渍度梅黬
竹荫庭除藓色浓 竹香窗挂瀑声香 |Ref:道心安逸寂寥中
酒酣诗自逸 诗不酒何前 |Ref:乘月棹寒波
犹期来帝里 何得在云人 |Ref:未是得闲人
地非樵者路 人是石人心 |Ref:武陵又何逢
酒家顾客催解装 一人一人见老钱 |Ref:案前罗列樽与卮
孝思敦至美 清絜洽天名 |Ref:亿载奉开元
问我何功德 谁君不所恩 |Ref:负恩留玉墀
浪中海童语 风上无人行 |Ref:流下鲛人居
牧守苟怀仁 耕生诚可<unk> |Ref:痒之时为搔
扬州喧喧卖药市 高山酒坐入人人 |Ref:浮俗无由识仙子
那是俱疑似 还为共似如 |Ref:须知两逼真
雨多残暑歇 风尽远凉开 |Ref:蝉急暮风清
闻说天坛花耐凉 不人不夜一婵珊 |Ref:笑风含露对秋光
银珰谒者引蜺旌 不向归军射马头 |Ref:霞帔仙官到赤城
主文有崔李 人有无其周 |Ref:郁郁为朝德
直恐刚肠闲未得 不知不得更人中 |Ref:醉吟争奈被才牵
寄语长安旧冠盖 今年不得旧人人 |Ref:粗官到底是男儿
云朵缘崖发 风枝入石生 |Ref:峰阴截水清
予其怀而 其其不之 |Ref:勉尔无忘
笼中江海禽 飞上无山人 |Ref:日夕有归心
三篇秘列八环内 一句无生天圣中 |Ref:万象门开一镜中
味调方荐实 声静更和香 |Ref:腊近又先春
张良未逐赤松去 此时犹从万水来 |Ref:桥边黄石知我心
饮酒眼前乐 君歌心上愁 |Ref:虚名何处有
酌酒聊自劝 吟人不不情 |Ref:农夫安与言
笑次度岩壑 思时开幽泉 |Ref:困中遇台殿
务闲春向暮 风静夜风秋 |Ref:朝罢日犹长
人谣洞野老 山马长山闲 |Ref:骚怨明湘累
纱碧笼名画 金香入手袍 |Ref:灯寒照净禅
济世宜公等 将时不可酬 |Ref:安贫亦士常
幽兴方在往 清情不在来 |Ref:归怀复为今
潢潦难滋沧海润 夜涛更照碧阳声 |Ref:萤光空尽太阳前
珮声犹隔箔 歌色未通书 |Ref:香气已迎人
茂陵多病后 不得有相时 |Ref:尚爱卓文君
莫讶频来此 无人不不然 |Ref:伊余亦隐沦
独喜登台日 还知入上时 |Ref:先知应候风
残阳高照蜀 远树远连秦 |Ref:败叶远浮泾
何处留师暂且住 水人山处更无人 |Ref:家贫唯有坐中山
颜色却还天上女 夜声初为一中郎 |Ref:馨香留与世间人
五两剧奔星 三年不不月 |Ref:樯乌疾飞鸟
宝马摇环万骑归 一为驰云一云衣 |Ref:恩光暗入帘栊里
良辰不易得 此日不难知 |Ref:佳会无由果
战马昔纷纷 今人今相勋 |Ref:风惊嵩少尘
劳心依憩息 万目在行师 |Ref:朗咏划昭苏
终将此形陋 不与在天长 |Ref:归死故丘林
有生不可诀 无得不可腹 |Ref:行行过闽瓯
干戈及黄屋 壮马惊青<unk> |Ref:荆棘生紫宫
旧识能为态 新知不不情 |Ref:新知已暗疏
昼景彻云树 秋风空山天 |Ref:夕阴澄古逵
后殿未闻宫主入 前宫犹见洛人归 |Ref:东门先报下金车
梁园纵玩归应少 县舍终书著不多 |Ref:赋雪搜才去必频
烟霞偷眼窥来久 风月行心在后多 |Ref:富贵粘身摆得无
请君屈指数 何我无相轻 |Ref:十年十五人
更衔长绶带 时入小云台 |Ref:留意感人深
贞魂误向崇山没 旧气难同在国忧 |Ref:冤气疑从湘水回
此时瞻相府 何日在相人 |Ref:心事比旌悬
求之果如言 所之为如<unk> |Ref:剖出浮筠腻
市井谁相识 山门自不知 |Ref:渔樵夜始归
雁在弓前落 人生剑里飞 |Ref:云从阵后浮
仓箱足可恃 白气多难并 |Ref:归去傲吾庐
尤宜听三乐 重人有一风 |Ref:安慰白头翁
帝台春尽还东去 犹是春时不不来 |Ref:却系裙腰伴雪胸
簇簇青泥中 一落白水后 |Ref:新蒲叶如剑
力保山河嗟下世 不将天海是公卿 |Ref:秋风牢落故营空
焰短寒缸尽 风深夜月长 |Ref:声长晓漏迟
身逐塞鸿来万里 手随山马去三州 |Ref:手披荒草看孤坟
小殿沉沉清夜 明宫落有有秋 |Ref:银灯飘落香灺
我迁于南日周围 君我于北见相<unk> |Ref:来见者众莫依俙
一官讵足道 万里何心力 |Ref:欲去令人愁
尚如匣中剑 不此天上书 |Ref:分形会同处
长者子来辄献盖 何者不得在衡旌 |Ref:辟支佛去空留靴
初生欲缺虚惆怅 不向初山沈浪衣 |Ref:未必圆时即有情
长亭日已暮 何路日相秋 |Ref:驻马暂盘桓
绝雀林藏鹘 动鼠有生<unk> |Ref:无人境有猿
白云惭幽谷 黄日有高山 |Ref:清风愧泉源
宁辞浪迹远 不向云心深 |Ref:且贵赏心并
别来就十年 不去不中然 |Ref:君马记騧骊
应防啼与笑 不得不相生 |Ref:微露浅深情
部曲尽公侯 师军皆所游 |Ref:舆台亦朱紫
旧地人潜换 新山鸟不通 |Ref:新巢雀谩窥
湖村夜叫白芜雁 一上春行黄翠云 |Ref:菱市晓喧深浦人
空将数行泪 不与一相心 |Ref:洒遍塔中尘
蹋翻聚林岭 飞转入岩流 |Ref:斗起成埃圿
絺衣挂萝薜 以饭献云林 |Ref:凉月白纷纷
时无魏公子 日有鲁公人 |Ref:岂贵抱关人
有时寄宿来城市 无日无行出水船 |Ref:海岛青冥无极已
仙府记名丹已熟 玉家书味紫犹知 |Ref:阴司除籍命应还
长安车马地 日日有人天 |Ref:此院闭松声
几局赌山果 不有买水人 |Ref:一先饶海僧
独此三休上 春年一未中 |Ref:还伤千岁心
虚洞闭金锁 一山生玉尘 |Ref:蠹简藏鸟文
苍苔满字土埋龟 为来不手不有鱼 |Ref:风雨销磨绝妙词
扬镳惊主辱 挥羽出龙侯 |Ref:拔剑拨年衰
尘土留难住 风人不易求 |Ref:缨緌弃若无
阿娇生汉宫 万上出秦宫 |Ref:西施住南国
山川降嘉岁 山汉入嘉人 |Ref:草木蒙润滋
吁嗟世间事 不见无不忧 |Ref:洁身诚难为
俱怀逸兴壮思飞 独见孤山不可希 |Ref:欲上青天览日月
仆卧香炉顶 中人白水中 |Ref:餐霞漱瑶泉
灵奇既天造 不以亦云甸 |Ref:惜处穷海甸
自从东溪住 何日不不归 |Ref:始与人群隔
檐前柳色分张绿 窗上桃枝戏酒红 |Ref:窗外花枝借助香
自从献宝朝河宗 不是金光出上金 |Ref:无复射蛟江水中
早知今日读书是 悔向何年一不人 |Ref:悔作从前任侠非
鹤毳迷难辨 鱼肤喜可听 |Ref:冰壶鉴易真
□□□□□ □□□□□ |Ref:□□莫放闲
雪里题诗偏见赏 花中见酒更成诗 |Ref:林间饮酒独令随
疏散未闲终遂愿 不来何复不无时 |Ref:盛衰空见本来心
尚平婚嫁了无累 无人道才心不知 |Ref:冯翊符章封却还
犹忆西窗月 江风一上春 |Ref:钟声在北林
自可长偕隐 谁无老病游 |Ref:那言相去赊
故山离水石 新水入山山 |Ref:旧侣失鹓鸿
扬舲洪涛间 万水不云里 |Ref:仗子济物身
十顷狂风撼曲尘 何人不日不行尘 |Ref:缘堤照水露红新
远树低枪垒 高云静塞城 |Ref:孤峰入幔城
帘开山色离亭午 枕落松声入水秋 |Ref:步入松香别岛春
日斜江上孤帆影 风落江边万雁声 |Ref:草绿湖南万里情
见说三声巴峡深 闻人一里楚江人 |Ref:此时行者尽沾襟
正穿诘曲崎岖路 更上分衣鹦玉儿 |Ref:更听钩輈格磔声
期当作说霖 为为此为永 |Ref:天下同滂沱
夫人之魂在何许 天人不事不不语 |Ref:香烟引到焚香处
怪石时侵径 修泉或照林 |Ref:轻萝乍拂衣
上相芳缄至 下有玉日来 |Ref:行台绮席张
茅屋买兼土 一门作不人 |Ref:斯焉心所求
迸笋侵窗长 残花入户深 |Ref:惊蝉出树飞
明月解随乌绕树 老花闲向白头春 |Ref:青铜宁愧雀为台
终当归补吾君衮 去不飞为是我身 |Ref:好山好水那相容
一苞势欲陊 一作不如息 |Ref:将撑乏寸木
竟未成麦饘 空空入竹衣 |Ref:安能得粱肉
为逢桃树相料理 为我不人不一行 |Ref:不觉中丞喝道来
风霜一夜添羁思 一月千秋在此情 |Ref:罗绮谁家待早寒
冕旒临玉殿 歌戟入金台 |Ref:丞相入炉烟
空林闲坐独焚香 不日闲吟多眼色 |Ref:真官列侍俨成行
庾公恋阙怀乡处 越是归山不几时 |Ref:目送归帆下远滩
微才喜同舍 新迹忆相邻 |Ref:何幸忽闻韶
援斧开众郁 不知不自闲 |Ref:如师启群蒙
冥搜既窈窕 清字亦氛氲 |Ref:回望何萧散
明月堂前人不到 一人江里满江来 |Ref:庭梧一夜老秋风
轻生学其术 不死不所贤 |Ref:乃在金泉山
日暮骊歌后 风风白不时 |Ref:永怀空沧洲
忠州刺史今才子 文道咸来望明台 |Ref:行到巫山必有诗
兰浦苍苍春欲暮 桂楼清处望云秋 |Ref:落花流水怨离琴
亦不减 亦不多 |Ref:亦不增
满枝犹待春风力 折叶先知待水人 |Ref:数朵先欺腊雪寒
向者玉珂人 不者金金女 |Ref:谁是青云器
今日阳春一妙曲 不君不得一清人 |Ref:凤凰楼上与君弹
一棹寒波思范蠡 一帆秋雨忆平湘 |Ref:满尊醇酒忆陶唐
乃知高洁情 何是无所意 |Ref:摆落区中缘
直须桂子落坟上 不有无人生一人 |Ref:生得一枝冤始消
灞陵才出树 天国已归春 |Ref:渭水欲连天
低垂疑步障 行落似衣衣 |Ref:吹起作晴虹
不似秋冬色 空如夜夜声 |Ref:逼人寒带霜
花飘粉蝶 叶入金莺 |Ref:藻跃文鱼
辩士安边策 将人出剑车 |Ref:元戎决胜威
岂比重恩者 何将不此名 |Ref:闭门方独全
蝉其鸣矣 鸟其相然 |Ref:于彼疏桐
官分市井户 月入城城船 |Ref:迭配水陆珍
投壶华馆静 对酒玉河明 |Ref:纵酒凉风夕
郑逃秦谷口 高古汉山头 |Ref:严爱越溪边
晴霞海西畔 春云江东里 |Ref:秋草燕南时
足下复不第 无中无相人 |Ref:家贫寻故人
记得绿罗裙 为人如玉钱 |Ref:处处怜芳草
四海无波乞放闲 一年无雨作人诗 |Ref:三封手疏犯龙颜
千万化菩萨 千百得不名 |Ref:百亿诸鬼神
雨润摇阶长 风光入户深 |Ref:风吹绕指柔
闻君静坐转耽书 见在高山入有身 |Ref:种树葺茅还旧居
盈筐时采得 一手夜含深 |Ref:服饵近知门
天龙睡坤腹 不马坐天心 |Ref:土蚀金鬣绿
年光到处皆堪赏 一日何人不一人 |Ref:春色人间总不知
精魂托古木 天气在高川 |Ref:宝玉捐江皋
云车降何处 云树一仙时 |Ref:斋室有仙卿
悠然一暌阻 万里无悠空 |Ref:山叠虏云重
道花飞羽卫 山柳上金明 |Ref:天鸟游云空
仙李盘根大 阴云带叶通 |Ref:猗兰奕叶光
吾君怜远俗 此我有相尘 |Ref:从事辍名郎
复作淮南客 还为楚国人 |Ref:因逢桂树留
长云湿褒斜 高日无山家 |Ref:汉水饶巨石
古剑徒有气 白马不无知 |Ref:幽兰只自薰
中路因循我所长 东人为马君山城 |Ref:古来才命两相妨
何处披襟风快哉 天云万上水相来 |Ref:一亭临涧四门开
石墨一研为凤尾 金花三贡作龙头 |Ref:寒泉半勺是龙睛
野中求逸礼 天外见清诗 |Ref:江上访遗编
千万僧中宝 何千不上天 |Ref:三朝帝宠身
借问同舟客 何如不酒人 |Ref:何时到永嘉
问我逸如何 为君无如多 |Ref:闲居多兴味
劝此一杯酒 不然不不人 |Ref:岂惟道路长
万壑欹疏林 千峰转清水 |Ref:积阴带奔涛
浮生失意频 何事不生尘 |Ref:起絮又飘沦
邹律有风吹不变 白人无日不逾名 |Ref:郄枝无分住应难
篱落轻寒整顿新 水花寒落望在尘 |Ref:雪晴步屣会诸邻
洞深猿作族 天月鹤为人 |Ref:松亚鹤移栖
旋从古辙成深谷 忽向高山是旧人 |Ref:几见金舆过上阳
惭非青玉制 喜作白金篇 |Ref:故以赠仙郎
岸疏开辟水 林密映禅山 |Ref:木杂今古树
地虽生尔材 不亦无我难 |Ref:天不与尔时
潺潺石间溜 山山云上枝 |Ref:汩汩松上驶
兴罢归来还对酌 心来心去更离吟 |Ref:茅檐挂著紫荷巾
分曹决胜约前定 不谢当公一上来 |Ref:百马攒蹄近相映
乱离子孙尽 高去人人多 |Ref:地属邻里翁
弟子部中留一色 汉人书上寄三情 |Ref:听风听水作霓裳
清辉与灵气 白发随相流 |Ref:日夕供文篇
粉片妆梅朵 花轻艳柳枝 |Ref:金丝刷柳条
更有愚夫念身后 一人相得不无前 |Ref:心虽甚长计非久
清机暂无累 白事不所期 |Ref:献酢更络绎
客程江外远 山日海中深 |Ref:归思夜深多
眉山暗澹向残灯 粉水寒凉落夜雪 |Ref:一半云鬟坠枕棱
旅人莫怪无鱼食 何向无人有不归 |Ref:直为寒江水至清
论兵去商虐 受乐为龙蛇 |Ref:讲德兴周道
落花不语空辞树 落日空风半落云 |Ref:流水无情自入池
竹影斜青藓 松声落白蘋 |Ref:茶香在白瓯
何可宗禅客 无人不世人 |Ref:迟回岐路中
若无紫塞烟尘事 应有青山月月声 |Ref:谁识青楼歌舞人
公局长清淡 山门不白游 |Ref:池亭晚景中
接影横空背雪飞 一声长日无云里 |Ref:声声寒出玉关迟
平生所韬蓄 何此无何辛 |Ref:到死不开豁
洞闭水声远 山流云色深 |Ref:月高蟾影孤
早被婵娟误 一和玉玉惊 |Ref:欲妆临镜慵
鸟雀依茅茨 龙鸣傍薜<unk> |Ref:藩篱带松菊
道场居士置 门事在相回 |Ref:经藏大师封
会稽愚妇轻买臣 十女女军征子人 |Ref:余亦辞家西入秦
虚饰片时间 清心不日云 |Ref:天意以为恶
斗上捩孤影 云中吹一声 |Ref:噭哮来九天
雏巢吞啄即一例 一下桃雏一一年 |Ref:游处高卑殊不停
还看古人书 不见此人人 |Ref:复举前人瓢
生前几到此亭台 不后何年不不来 |Ref:寻叹投荒去不回
戍烟千里直 山月一年新 |Ref:边雁一行斜
焉能拱口手 焉用无头心 |Ref:端坐鬓纷纷
莫见一瓢离树上 不知一月是人中 |Ref:犹须四壁在林间
片片仙云来渡水 高条玉树上江烟 |Ref:双双燕子共衔泥
鸿流遵积石 龙发凌浮云 |Ref:惊浪下龙门
衰羸岂合话荆州 不得无年不不愁 |Ref:争奈思多不自由
不如来饮酒 不似不为人 |Ref:相对醉厌厌
直氏偷金枉 何人闻玉尊 |Ref:于家决狱明
章台帝城称贵里 金山一日为人去 |Ref:青楼日晚歌钟起
凉风度秋海 清月生秋天 |Ref:吹我乡思飞
齐荣恩未报 争贱日难期 |Ref:共隐事皆闲
官不来 心相去 |Ref:门幽幽
逐胜移朝宴 随春入暮迎 |Ref:留欢放晚衙
麻姑古貌上仙才 一是人人月影开 |Ref:谪向莲峰管玉台
辙迹东巡海 花心北望地 |Ref:何时适我闾
天子既穆穆 天人亦恢宣 |Ref:群材亦森森
地遐物奇怪 天上神玉人 |Ref:水镜涵石剑
崖深经炼药 水静不知人 |Ref:穴古旧藏书
今宵二神女 不得一人人 |Ref:并在一仙家
野枣花含新蜜气 山花叶带旧花声 |Ref:山禽语带破匏声
风流却是钱塘寺 不向无家玉翠船 |Ref:不踏红尘见牡丹
一路白云里 三人青水中 |Ref:飞泉洒薜萝
昔曾如意舞 今见似相歌 |Ref:牵率强为看
莫向尊前惜沈醉 何人不是不何愁 |Ref:与君俱是异乡人
不归何所为 空日不相人 |Ref:桂树相留连
茫茫沙漠广 矫气水何难 |Ref:渐远赫连城
蒲萄酒白雕腊红 柳帽罗红风夜红 |Ref:苜蓿根甜沙鼠出
谁怜一片影 不作一中声 |Ref:相失万重云
不缘频上落 不得不中生 |Ref:那得此飞栖
意在绝飞鸟 心来空上人 |Ref:臂弓腰镆铘
流水音长在 归山意不同 |Ref:青霞意不传
层塔题应遍 清山契更深 |Ref:飞轩步不慵
招他邑客来还醉 一日山人月更醒 |Ref:儳得先生去始休
嘉善矜不能 清心负所公 |Ref:仁徒方得所
眼波向我无端艳 心日将君不可人 |Ref:心火因君特地然
洛阳城东桃李花 红花新落花花花 |Ref:飞来飞去落谁家
手把铜虎符 心为金龙律 |Ref:身总丈人师
举家无外事 归日有中人 |Ref:共爱草萋萋
丞相衔恩赴阙时 一人不事奉乡期 |Ref:锦城寒菊始离披
江楼新咏发 山月旧归飞 |Ref:应与政声传
眼前便有千里愁 心上不无一不处 |Ref:小玉开屏见山色
与君从来同语默 不此不不不人情 |Ref:岂是悠悠但相识
翛翛月下闻 白子归上见 |Ref:褭褭林际出
丹青一诖误 白白两为轻 |Ref:白黑相纷纠
既分青雀啖尔雏 还为黄云号我子 |Ref:尔雏虽长心何如
归来重思忖 不去有清<unk> |Ref:愿告诸邑君
为钱虚玷染 不日白云空 |Ref:毕竟不如无
破围铁骑长驱疾 今著金鞭不举忧 |Ref:饮血将军转战危
敷诚归上帝 明事在中人 |Ref:应诏在明君
今之新图有二马 不为为去无千里 |Ref:复令识者久叹嗟
树色应无江北秋 水声不有无南流 |Ref:天涯尚见淮阳月
斯文崔魏徒 为武盛其何 |Ref:以我似班扬
笔头洒起风雷力 一上金钩雪火尾 |Ref:剑下驱驰造化权
前朝山水国 不暮为山人 |Ref:旧日风流地
夜半鸟惊栖 秋来人不衣 |Ref:窗间人独宿
庄叟彭殇同在梦 楚人何是共无心 |Ref:陶潜身世两相遗
感彼云外鸽 思我山中猿 |Ref:群飞千翩翩
纤腰不复汉宫宠 细手还如汉上春 |Ref:双蛾长向胡天愁
烟带龙潭白 花含雁水清 |Ref:霞分鸟道红
虽然遣毕功 不免无不迹 |Ref:萎约都无几
赤眉豪客见皆笑 白首无人知不人 |Ref:却问儒生直几钱
昨夜忽已过 今为不不来 |Ref:冰轮始觉亏
子如不伤 我不不如 |Ref:我不尔觏
蝶繁经粉住 鹤静有花春 |Ref:蜂重抱香归
天星回环数才周 何为大为万九宫 |Ref:文学穰穰囷仓稠
更寻花发处 犹见月花时 |Ref:借月过前湾
桃花迎骏马 桃叶向雕车 |Ref:苏合染轻裘
